DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM             9.347            -999.000          -999.000      -999.000
RESSURF            9.298            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 11.438               0.992            10.446        14.916
RESTOA_ERBE       11.438               0.059            11.380        15.434
SOLIN_CERES-EBAF 340.424             340.054             0.370         0.656
SOLIN_CERES      340.424             341.479            -1.055         0.949
CLDTOT_ISCCP      62.847              66.800            -3.953        12.740
CLDTOT_CLOUDSAT   62.847              66.824            -3.977        11.474
FLDS_ISCCP       338.144             343.347            -5.202        13.634
FLNS_ISCCP        57.775              49.425             8.350        13.348
FLUT_CERES-EBAF  235.296             239.574            -4.278        10.070
FLUT_CERES       235.296             238.963            -3.667         9.051
FLUT_ERBE        235.296             233.946             1.350         9.222
FLUTC_CERES-EBAF 258.281             266.051            -7.770         8.654
FLUTC_CERES      258.281             266.878            -8.598        10.608
FLUTC_ERBE       258.281             264.429            -6.148         8.075
FLNT_CAM         233.929            -999.000          -999.000      -999.000
FSDS_ISCCP       193.762             189.390             4.372        17.567
FSNS_ISCCP       169.519             165.893             3.626        17.150
FSNS_LARYEA      169.519             154.089            15.430        40.072
FSNTOA_CERES-EBAF246.734             240.566             6.168        15.795
FSNTOA_CERES     246.734             244.691             2.043        14.715
FSNTOA_ERBE      246.734             234.004            12.730        19.143
FSNTOAC_CERES-EBAF290.406             287.638             2.769         6.955
FSNTOAC_CERES    290.406             294.702            -4.296        15.663
FSNTOAC_ERBE     290.406             289.329             1.078        15.290
FSNT_CAM         243.276            -999.000          -999.000      -999.000
LHFLX_JRA25       81.783              87.935            -6.152        16.807
LHFLX_ECMWF       81.783              84.948            -3.164        18.606
LHFLX_ERA40       81.783              82.367            -0.583        15.887
LHFLX_WHOI        81.783              89.083            -7.300        25.756
LWCF_CERES-EBAF   22.984              26.476            -3.491         8.592
LWCF_CERES        22.984              27.194            -4.210         8.720
LWCF_ERBE         22.984              30.355            -7.371        10.829
PRECT_GPCP         2.791               2.674             0.117         1.352
PREH2O_NVAP       24.190              24.597            -0.407         2.426
PREH2O_AIRS       24.190              20.425             3.765         4.462
PREH2O_JRA25      24.190              24.314            -0.124         1.289
PREH2O_ECMWF      24.190              24.332            -0.142         1.924
PREH2O_ERA40      24.190              24.948            -0.759         2.067
PSL_JRA25       1010.563            1011.280            -0.717         2.733
PSL_NCEP        1010.563            1011.625            -1.062         2.916
SHFLX_JRA25       20.662              19.372             1.290        11.550
SHFLX_NCEP        20.662              15.795             4.867        16.040
SHFLX_LARYEA      20.662              13.236             7.426        10.607
STRESS_MAG_ERS     0.062               0.064            -0.003         0.021
STRESS_MAG_LARYEA  0.062               0.071            -0.010         0.024
STRESS_MAG_JRA25   0.062               0.080            -0.019         0.026
SWCF_CERES-EBAF  -43.672             -47.071             3.399        15.161
SWCF_CERES       -43.672             -48.586             4.914        18.701
SWCF_ERBE        -43.672             -54.163            10.491        20.322
AODVIS             0.086            -999.000          -999.000      -999.000
AODDUST            0.021            -999.000          -999.000      -999.000
SST_HADISST       20.278              20.346            -0.068         0.177
SST_HADISST_PI    20.677              20.376             0.302         0.417
SST_HADISST_PD    20.263              20.442            -0.179         0.391
TREFHT_LEGATES   286.768             287.645            -0.877         3.352
TREFHT_JRA25     286.768             287.605            -0.837         1.851
TS_NCEP          287.625             287.683            -0.057         1.579
TS_LAND_NCEP     280.826             281.155            -0.329         2.723
U_200_JRA25       15.050              15.565            -0.515         2.593
U_200_NCEP        15.050              15.297            -0.246         2.491
Z3_500_JRA25      56.325              56.601            -0.276         0.389
Z3_500_NCEP       56.325              56.581            -0.256         0.391
