DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM            18.475            -999.000          -999.000      -999.000
RESSURF           17.923            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 20.588               7.699            12.889        20.967
RESTOA_ERBE       20.588               7.330            13.258        21.635
SOLIN_CERES-EBAF 350.548             350.113             0.436         0.702
SOLIN_CERES      350.548             351.585            -1.037         1.159
CLDTOT_ISCCP      64.269              67.302            -3.032        13.769
CLDTOT_CLOUDSAT   64.269              67.086            -2.817        13.271
FLDS_ISCCP       329.355             336.180            -6.825        18.003
FLNS_ISCCP        56.554              48.408             8.146        14.873
FLUT_CERES-EBAF  232.630             236.726            -4.096        11.135
FLUT_CERES       232.630             235.838            -3.209        10.662
FLUT_ERBE        232.630             231.328             1.301        10.174
FLUTC_CERES-EBAF 254.705             262.886            -8.181         9.644
FLUTC_CERES      254.705             263.664            -8.959        11.331
FLUTC_ERBE       254.705             261.152            -6.447         9.380
FLNT_CAM         231.233            -999.000          -999.000      -999.000
FSDS_ISCCP       201.747             195.732             6.015        22.581
FSNS_ISCCP       175.384             169.925             5.459        21.910
FSNS_LARYEA      175.384             169.192             6.192        41.522
FSNTOA_CERES-EBAF253.217             244.424             8.793        22.854
FSNTOA_CERES     253.217             248.198             5.019        22.751
FSNTOA_ERBE      253.217             238.658            14.559        25.818
FSNTOAC_CERES-EBAF298.574             296.072             2.502         8.883
FSNTOAC_CERES    298.574             301.121            -2.547        14.622
FSNTOAC_ERBE     298.574             296.223             2.351        14.958
FSNT_CAM         249.708            -999.000          -999.000      -999.000
LHFLX_JRA25       81.947              87.171            -5.224        19.542
LHFLX_ECMWF       81.947              81.881             0.066        23.035
LHFLX_ERA40       81.947              81.612             0.335        19.819
LHFLX_WHOI        81.947              90.819            -8.872        32.637
LWCF_CERES-EBAF   22.075              26.159            -4.084         9.679
LWCF_CERES        22.075              27.313            -5.238        10.902
LWCF_ERBE         22.075              29.706            -7.630        12.361
PRECT_GPCP         2.783               2.673             0.110         1.530
PREH2O_NVAP       23.111              23.457            -0.347         2.671
PREH2O_AIRS       23.111              19.619             3.492         4.602
PREH2O_JRA25      23.111              23.369            -0.258         1.648
PREH2O_ECMWF      23.111              23.343            -0.232         2.021
PREH2O_ERA40      23.111              23.787            -0.676         2.147
PSL_JRA25       1010.789            1011.403            -0.614         3.600
PSL_NCEP        1010.789            1011.448            -0.659         3.339
SHFLX_JRA25       18.960              17.546             1.414        13.387
SHFLX_NCEP        18.960              13.828             5.132        16.435
SHFLX_LARYEA      18.960              14.628             4.332        12.303
STRESS_MAG_ERS     0.065               0.065             0.000         0.030
STRESS_MAG_LARYEA  0.065               0.073            -0.008         0.030
STRESS_MAG_JRA25   0.065               0.082            -0.017         0.031
SWCF_CERES-EBAF  -45.357             -51.648             6.291        21.061
SWCF_CERES       -45.357             -52.425             7.068        27.371
SWCF_ERBE        -45.357             -57.131            11.774        27.760
AODVIS             0.070            -999.000          -999.000      -999.000
AODDUST            0.013            -999.000          -999.000      -999.000
SST_HADISST       20.399              20.440            -0.041         0.208
SST_HADISST_PI    20.786              20.468             0.319         0.453
SST_HADISST_PD    20.389              20.539            -0.150         0.428
TREFHT_LEGATES   284.659             286.083            -1.423         3.649
TREFHT_JRA25     284.659             286.052            -1.393         3.123
TS_NCEP          285.494             286.195            -0.701         2.959
TS_LAND_NCEP     273.725             276.314            -2.589         5.457
U_200_JRA25       16.184              16.874            -0.689         3.762
U_200_NCEP        16.184              16.479            -0.294         3.584
Z3_500_JRA25      56.075              56.394            -0.319         0.485
Z3_500_NCEP       56.075              56.368            -0.293         0.480
