DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM            -0.665            -999.000          -999.000      -999.000
RESSURF           -1.251            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF  1.347              -7.075             8.423        15.961
RESTOA_ERBE        1.347              -8.981            10.328        18.099
SOLIN_CERES-EBAF 330.489             330.165             0.324         1.289
SOLIN_CERES      330.489             331.499            -1.010         1.093
CLDTOT_ISCCP      61.637              65.866            -4.229        15.525
CLDTOT_CLOUDSAT   61.637              65.816            -4.178        14.799
FLDS_ISCCP       348.275             351.719            -3.444        15.939
FLNS_ISCCP        57.806              48.809             8.997        16.274
FLUT_CERES-EBAF  238.696             243.194            -4.498        12.831
FLUT_CERES       238.696             242.699            -4.003        11.986
FLUT_ERBE        238.696             237.664             1.032        12.273
FLUTC_CERES-EBAF 262.279             269.796            -7.517         8.682
FLUTC_CERES      262.279             269.060            -6.780         9.228
FLUTC_ERBE       262.279             267.818            -5.538         9.927
FLNT_CAM         237.344            -999.000          -999.000      -999.000
FSDS_ISCCP       182.489             180.767             1.722        20.759
FSNS_ISCCP       162.328             160.946             1.382        20.245
FSNS_LARYEA      162.328             137.530            24.798        48.022
FSNTOA_CERES-EBAF240.043             236.119             3.924        17.517
FSNTOA_CERES     240.043             238.808             1.236        17.077
FSNTOA_ERBE      240.043             228.683            11.361        21.545
FSNTOAC_CERES-EBAF284.153             280.474             3.679        10.260
FSNTOAC_CERES    284.153             285.103            -0.950         9.310
FSNTOAC_ERBE     284.153             282.020             2.133        11.579
FSNT_CAM         236.679            -999.000          -999.000      -999.000
LHFLX_JRA25       83.330              90.576            -7.246        24.045
LHFLX_ECMWF       83.330              90.023            -6.693        23.999
LHFLX_ERA40       83.330              84.806            -1.476        22.264
LHFLX_WHOI        83.330              90.262            -6.932        31.425
LWCF_CERES-EBAF   23.583              26.600            -3.017        10.993
LWCF_CERES        23.583              26.336            -2.753        10.867
LWCF_ERBE         23.583              29.991            -6.408        13.326
PRECT_GPCP         2.844               2.704             0.141         1.674
PREH2O_NVAP       25.834              26.259            -0.425         3.384
PREH2O_AIRS       25.834              21.550             4.284         5.417
PREH2O_JRA25      25.834              25.672             0.162         1.914
PREH2O_ECMWF      25.834              25.585             0.249         2.858
PREH2O_ERA40      25.834              26.495            -0.661         2.738
PSL_JRA25       1010.383            1011.154            -0.771         2.820
PSL_NCEP        1010.383            1011.687            -1.304         4.053
SHFLX_JRA25       22.444              20.997             1.446        13.477
SHFLX_NCEP        22.444              18.362             4.081        20.063
SHFLX_LARYEA      22.444              12.813             9.631        13.661
STRESS_MAG_ERS     0.072               0.068             0.003         0.022
STRESS_MAG_LARYEA  0.072               0.074            -0.002         0.022
STRESS_MAG_JRA25   0.072               0.082            -0.011         0.023
SWCF_CERES-EBAF  -44.110             -44.355             0.245        17.029
SWCF_CERES       -44.110             -45.685             1.575        17.884
SWCF_ERBE        -44.110             -52.266             8.156        20.032
AODVIS             0.109            -999.000          -999.000      -999.000
AODDUST            0.028            -999.000          -999.000      -999.000
SST_HADISST       20.164              20.234            -0.070         0.196
SST_HADISST_PI    20.562              20.261             0.301         0.436
SST_HADISST_PD    20.162              20.345            -0.182         0.417
TREFHT_LEGATES   288.821             289.241            -0.420         3.569
TREFHT_JRA25     288.821             289.155            -0.334         1.768
TS_NCEP          289.669             289.281             0.388         1.883
TS_LAND_NCEP     287.452             286.396             1.056         3.134
U_200_JRA25       12.308              12.836            -0.528         3.277
U_200_NCEP        12.308              12.648            -0.340         3.260
Z3_500_JRA25      56.647              56.868            -0.221         0.361
Z3_500_NCEP       56.647              56.855            -0.208         0.374
