DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM           -20.484            -999.000          -999.000      -999.000
RESSURF           -4.449            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-18.646             -29.314            10.668        12.691
RESTOA_ERBE      -18.646             -29.039            10.393        13.401
SOLIN_CERES-EBAF 304.976             304.924             0.051         0.440
SOLIN_CERES      304.976             305.738            -0.763         0.960
CLDTOT_ISCCP      61.812              65.562            -3.750        12.388
CLDTOT_CLOUDSAT   61.812              62.809            -0.996        10.363
FLDS_ISCCP       305.140             315.503           -10.363        16.850
FLNS_ISCCP        61.730              52.078             9.653        14.487
FLUT_CERES-EBAF  229.815             233.672            -3.857         7.486
FLUT_CERES       229.815             232.923            -3.108         6.423
FLUT_ERBE        229.815             227.565             2.250         7.600
FLUTC_CERES-EBAF 248.302             257.458            -9.156        10.114
FLUTC_CERES      248.302             259.871           -11.570        14.794
FLUTC_ERBE       248.302             254.629            -6.327         8.943
FLNT_CAM         228.494            -999.000          -999.000      -999.000
FSDS_ISCCP       172.525             162.714             9.811        15.005
FSNS_ISCCP       141.873             135.408             6.465        14.040
FSNS_LARYEA      141.873             114.976            26.897        47.638
FSNTOA_CERES-EBAF211.169             204.358             6.811        12.151
FSNTOA_CERES     211.169             207.346             3.822        10.144
FSNTOA_ERBE      211.169             198.526            12.642        17.506
FSNTOAC_CERES-EBAF248.956             246.466             2.489         9.328
FSNTOAC_CERES    248.956             258.978           -10.022        22.998
FSNTOAC_ERBE     248.956             248.851             0.105        14.327
FSNT_CAM         208.010            -999.000          -999.000      -999.000
LHFLX_JRA25       58.392              66.113            -7.721        13.474
LHFLX_ECMWF       58.392              61.263            -2.871        15.359
LHFLX_ERA40       58.392              62.197            -3.805        14.187
LHFLX_WHOI        58.392              83.610           -25.218        26.466
LWCF_CERES-EBAF   18.487              23.784            -5.298         7.381
LWCF_CERES        18.487              25.277            -6.791         9.127
LWCF_ERBE         18.487              27.000            -8.513        10.596
PRECT_GPCP         2.031               2.116            -0.085         0.880
PREH2O_NVAP       16.814              17.871            -1.056         2.691
PREH2O_AIRS       16.814              13.782             3.033         3.297
PREH2O_JRA25      16.814              17.417            -0.602         1.229
PREH2O_ECMWF      16.814              16.927            -0.112         1.627
PREH2O_ERA40      16.814              17.958            -1.144         1.797
PSL_JRA25       1014.630            1014.805            -0.176         2.306
PSL_NCEP        1014.630            1014.792            -0.162         2.368
SHFLX_JRA25       26.200              19.966             6.234        12.127
SHFLX_NCEP        26.200              18.553             7.647        21.606
SHFLX_LARYEA      26.200              16.553             9.647        13.161
STRESS_MAG_ERS     0.046               0.050            -0.004         0.018
STRESS_MAG_LARYEA  0.046               0.054            -0.009         0.020
STRESS_MAG_JRA25   0.046               0.077            -0.031         0.029
SWCF_CERES-EBAF  -37.787             -42.108             4.321         9.445
SWCF_CERES       -37.787             -47.759             9.972        16.732
SWCF_ERBE        -37.787             -49.567            11.780        16.698
AODVIS             0.096            -999.000          -999.000      -999.000
AODDUST            0.030            -999.000          -999.000      -999.000
SST_HADISST       17.847              18.041            -0.194         0.268
SST_HADISST_PI    17.917              17.856             0.060         0.347
SST_HADISST_PD    17.770              18.215            -0.445         0.604
TREFHT_LEGATES   281.199             282.859            -1.660         3.079
TREFHT_JRA25     281.199             283.000            -1.801         2.057
TS_NCEP          281.946             282.324            -0.378         1.990
TS_LAND_NCEP     277.995             278.339            -0.344         2.780
U_200_JRA25       18.086              18.744            -0.659         2.182
U_200_NCEP        18.086              18.868            -0.783         2.125
Z3_500_JRA25      55.859              56.157            -0.298         0.344
Z3_500_NCEP       55.859              56.108            -0.249         0.356
