DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM          -102.111            -999.000          -999.000      -999.000
RESSURF          -73.575            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-101.242            -110.480             9.238        11.702
RESTOA_ERBE     -101.242            -105.482             4.240         9.746
SOLIN_CERES-EBAF 166.327             165.017             1.310         0.790
SOLIN_CERES      166.327             167.165            -0.839         1.319
CLDTOT_ISCCP      67.070              67.029             0.041        14.654
CLDTOT_CLOUDSAT   67.070              64.522             2.548        14.013
FLDS_ISCCP       262.334             278.873           -16.539        26.533
FLNS_ISCCP        59.137              51.100             8.037        14.707
FLUT_CERES-EBAF  211.640             216.706            -5.067         8.568
FLUT_CERES       211.640             216.203            -4.564         8.194
FLUT_ERBE        211.640             210.878             0.761         7.304
FLUTC_CERES-EBAF 228.398             239.566           -11.168        12.655
FLUTC_CERES      228.398             241.228           -12.830        16.173
FLUTC_ERBE       228.398             235.515            -7.116        11.492
FLNT_CAM         210.527            -999.000          -999.000      -999.000
FSDS_ISCCP        93.437              84.595             8.842        14.156
FSNS_ISCCP        73.936              69.084             4.852        12.088
FSNS_LARYEA       73.936              61.648            12.287        28.880
FSNTOA_CERES-EBAF110.397             106.226             4.172        10.445
FSNTOA_CERES     110.397             108.801             1.597         8.865
FSNTOA_ERBE      110.397             105.396             5.002        12.126
FSNTOAC_CERES-EBAF129.720             129.206             0.514         9.223
FSNTOAC_CERES    129.720             135.158            -5.438        12.565
FSNTOAC_ERBE     129.720             131.992            -2.272        12.743
FSNT_CAM         108.417            -999.000          -999.000      -999.000
LHFLX_JRA25       64.303              69.138            -4.834        17.118
LHFLX_ECMWF       64.303              63.989             0.315        21.766
LHFLX_ERA40       64.303              66.243            -1.939        18.484
LHFLX_WHOI        64.303             109.110           -44.807        39.032
LWCF_CERES-EBAF   16.759              22.858            -6.099         8.385
LWCF_CERES        16.759              24.061            -7.302        11.867
LWCF_ERBE         16.759              24.538            -7.780        12.179
PRECT_GPCP         2.046               2.099            -0.054         0.873
PREH2O_NVAP       10.785              11.613            -0.828         2.420
PREH2O_AIRS       10.785               8.740             2.045         2.772
PREH2O_JRA25      10.785              11.490            -0.705         1.448
PREH2O_ECMWF      10.785              10.796            -0.010         1.394
PREH2O_ERA40      10.785              11.494            -0.708         1.545
PSL_JRA25       1016.346            1016.119             0.227         3.689
PSL_NCEP        1016.346            1016.118             0.228         3.790
SHFLX_JRA25       24.070              16.299             7.772        15.746
SHFLX_NCEP        24.070              13.974            10.096        22.043
SHFLX_LARYEA      24.070              30.830            -6.759        16.267
STRESS_MAG_ERS     0.077               0.073             0.004         0.034
STRESS_MAG_LARYEA  0.077               0.085            -0.007         0.034
STRESS_MAG_JRA25   0.077               0.102            -0.024         0.040
SWCF_CERES-EBAF  -19.323             -22.980             3.658         7.383
SWCF_CERES       -19.323             -25.991             6.669        12.402
SWCF_ERBE        -19.323             -26.198             6.876        12.626
AODVIS             0.055            -999.000          -999.000      -999.000
AODDUST            0.010            -999.000          -999.000      -999.000
SST_HADISST       15.732              15.935            -0.203         0.320
SST_HADISST_PI    15.804              15.740             0.064         0.385
SST_HADISST_PD    15.681              16.090            -0.409         0.638
TREFHT_LEGATES   271.177             274.285            -3.108         4.902
TREFHT_JRA25     271.177             275.012            -3.835         4.907
TS_NCEP          271.971             274.169            -2.198         4.635
TS_LAND_NCEP     261.339             265.822            -4.483         6.720
U_200_JRA25       24.725              25.608            -0.882         3.780
U_200_NCEP        24.725              25.626            -0.901         3.669
Z3_500_JRA25      54.507              54.944            -0.437         0.533
Z3_500_NCEP       54.507              54.880            -0.372         0.546
