DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM            63.771            -999.000          -999.000      -999.000
RESSURF           68.050            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 66.497              53.400            13.097        20.114
RESTOA_ERBE       66.497              50.014            16.483        23.992
SOLIN_CERES-EBAF 446.377             444.548             1.829         1.985
SOLIN_CERES      446.377             446.695            -0.318         0.671
CLDTOT_ISCCP      57.894              64.008            -6.114        16.589
CLDTOT_CLOUDSAT   57.894              59.822            -1.928        15.942
FLDS_ISCCP       353.403             358.102            -4.699        18.291
FLNS_ISCCP        60.304              49.558            10.745        20.490
FLUT_CERES-EBAF  248.667             251.578            -2.911        10.389
FLUT_CERES       248.667             251.302            -2.635         9.363
FLUT_ERBE        248.667             245.718             2.949        11.543
FLUTC_CERES-EBAF 268.767             276.215            -7.448         8.850
FLUTC_CERES      268.767             276.000            -7.233         9.093
FLUTC_ERBE       268.767             274.105            -5.337         8.299
FLNT_CAM         247.121            -999.000          -999.000      -999.000
FSDS_ISCCP       246.317             240.231             6.086        23.745
FSNS_ISCCP       210.125             205.244             4.881        24.123
FSNS_LARYEA      210.125             168.148            41.977        77.191
FSNTOA_CERES-EBAF315.164             304.979            10.185        21.471
FSNTOA_CERES     315.164             308.616             6.548        20.182
FSNTOA_ERBE      315.164             295.731            19.432        28.967
FSNTOAC_CERES-EBAF376.025             367.835             8.189        16.413
FSNTOAC_CERES    376.025             375.257             0.768        15.127
FSNTOAC_ERBE     376.025             371.647             4.378        17.458
FSNT_CAM         310.892            -999.000          -999.000      -999.000
LHFLX_JRA25       52.614              64.453           -11.838        22.626
LHFLX_ECMWF       52.614              59.810            -7.195        21.166
LHFLX_ERA40       52.614              59.346            -6.732        21.454
LHFLX_WHOI        52.614              56.709            -4.095        29.077
LWCF_CERES-EBAF   20.101              24.634            -4.534         9.663
LWCF_CERES        20.101              24.577            -4.477         8.729
LWCF_ERBE         20.101              28.113            -8.012        11.933
PRECT_GPCP         2.097               2.263            -0.166         1.484
PREH2O_NVAP       24.818              26.308            -1.491         4.388
PREH2O_AIRS       24.818              20.502             4.316         5.488
PREH2O_JRA25      24.818              25.083            -0.265         2.230
PREH2O_ECMWF      24.818              24.914            -0.096         3.094
PREH2O_ERA40      24.818              26.370            -1.553         3.008
PSL_JRA25       1012.511            1012.860            -0.349         2.618
PSL_NCEP        1012.511            1012.746            -0.235         2.750
SHFLX_JRA25       29.157              24.422             4.735        14.751
SHFLX_NCEP        29.157              25.101             4.056        26.912
SHFLX_LARYEA      29.157               4.914            24.243        19.588
STRESS_MAG_ERS     0.040               0.036             0.004         0.021
STRESS_MAG_LARYEA  0.040               0.034             0.006         0.016
STRESS_MAG_JRA25   0.040               0.058            -0.018         0.020
SWCF_CERES-EBAF  -60.861             -62.856             1.996        17.961
SWCF_CERES       -60.861             -66.559             5.698        21.585
SWCF_ERBE        -60.861             -75.259            14.398        26.359
AODVIS             0.144            -999.000          -999.000      -999.000
AODDUST            0.050            -999.000          -999.000      -999.000
SST_HADISST       20.133              20.320            -0.187         0.263
SST_HADISST_PI    20.153              20.108             0.045         0.364
SST_HADISST_PD    20.049              20.527            -0.478         0.610
TREFHT_LEGATES   290.966             291.356            -0.390         2.498
TREFHT_JRA25     290.966             291.073            -0.107         1.234
TS_NCEP          291.629             290.747             0.882         2.361
TS_LAND_NCEP     293.646             291.171             2.475         3.428
U_200_JRA25        9.870              10.478            -0.608         2.804
U_200_NCEP         9.870              10.741            -0.871         2.956
Z3_500_JRA25      57.364              57.479            -0.115         0.252
Z3_500_NCEP       57.364              57.451            -0.087         0.267
