DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM           -13.469            -999.000          -999.000      -999.000
RESSURF            3.663            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-11.620             -26.742            15.122        16.937
RESTOA_ERBE      -11.620             -25.485            13.865        16.913
SOLIN_CERES-EBAF 305.986             304.755             1.232         0.897
SOLIN_CERES      305.986             306.477            -0.491         0.716
CLDTOT_ISCCP      66.872              73.376            -6.504        14.917
CLDTOT_CLOUDSAT   66.872              69.107            -2.234        10.449
FLDS_ISCCP       305.644             308.825            -3.181        13.415
FLNS_ISCCP        55.909              45.189            10.720        14.079
FLUT_CERES-EBAF  226.017             227.778            -1.761         5.427
FLUT_CERES       226.017             227.139            -1.121         4.963
FLUT_ERBE        226.017             223.082             2.935         6.115
FLUTC_CERES-EBAF 245.478             253.108            -7.630         8.436
FLUTC_CERES      245.478             252.060            -6.582         7.602
FLUTC_ERBE       245.478             251.144            -5.666         7.297
FLNT_CAM         224.687            -999.000          -999.000      -999.000
FSDS_ISCCP       173.437             163.531             9.906        15.532
FSNS_ISCCP       148.174             139.015             9.159        15.753
FSNS_LARYEA      148.174             129.971            18.203        31.281
FSNTOA_CERES-EBAF214.398             201.037            13.361        16.946
FSNTOA_CERES     214.398             204.572             9.825        14.841
FSNTOA_ERBE      214.398             197.597            16.800        20.969
FSNTOAC_CERES-EBAF256.273             253.419             2.854         4.996
FSNTOAC_CERES    256.273             259.407            -3.134        14.271
FSNTOAC_ERBE     256.273             259.631            -3.358        20.940
FSNT_CAM         211.218            -999.000          -999.000      -999.000
LHFLX_JRA25       71.333              73.108            -1.776         9.571
LHFLX_ECMWF       71.333              70.927             0.406        13.073
LHFLX_ERA40       71.333              71.408            -0.075        12.200
LHFLX_WHOI        71.333              67.411             3.922        19.838
LWCF_CERES-EBAF   19.460              25.329            -5.869         7.036
LWCF_CERES        19.460              24.751            -5.290         6.900
LWCF_ERBE         19.460              27.920            -8.460        10.118
PRECT_GPCP         2.308               2.321            -0.013         0.639
PREH2O_NVAP       16.041              15.774             0.267         1.231
PREH2O_AIRS       16.041              12.814             3.227         3.180
PREH2O_JRA25      16.041              16.265            -0.224         0.779
PREH2O_ECMWF      16.041              15.631             0.410         1.245
PREH2O_ERA40      16.041              16.264            -0.223         0.945
PSL_JRA25       1006.630            1007.365            -0.735         3.806
PSL_NCEP        1006.630            1008.276            -1.645         4.199
SHFLX_JRA25       17.269              12.715             4.554         9.881
SHFLX_NCEP        17.269              10.753             6.516        12.581
SHFLX_LARYEA      17.269              13.347             3.923         9.159
STRESS_MAG_ERS     0.085               0.081             0.004         0.026
STRESS_MAG_LARYEA  0.085               0.089            -0.004         0.028
STRESS_MAG_JRA25   0.085               0.099            -0.014         0.031
SWCF_CERES-EBAF  -41.875             -52.382            10.507        14.741
SWCF_CERES       -41.875             -54.481            12.606        20.891
SWCF_ERBE        -41.875             -59.408            17.533        25.746
AODVIS             0.053            -999.000          -999.000      -999.000
AODDUST            0.006            -999.000          -999.000      -999.000
SST_HADISST       14.378              14.399            -0.022         0.152
SST_HADISST_PI    15.080              14.697             0.383         0.467
SST_HADISST_PD    14.385              14.498            -0.113         0.297
TREFHT_LEGATES   280.204             280.969            -0.765         4.811
TREFHT_JRA25     280.204             281.520            -1.316         2.271
TS_NCEP          280.963             281.104            -0.141         1.620
TS_LAND_NCEP     264.850             266.347            -1.497         3.571
U_200_JRA25       23.438              24.175            -0.737         3.401
U_200_NCEP        23.438              24.041            -0.603         3.229
Z3_500_JRA25      54.800              55.139            -0.339         0.460
Z3_500_NCEP       54.800              55.027            -0.227         0.467
