DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM            91.600            -999.000          -999.000      -999.000
RESSURF           98.784            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 94.425              70.351            24.074        30.728
RESTOA_ERBE       94.425              68.266            26.158        32.452
SOLIN_CERES-EBAF 469.943             470.051            -0.108         0.541
SOLIN_CERES      469.943             470.148            -0.205         0.696
CLDTOT_ISCCP      65.628              73.385            -7.758        14.624
CLDTOT_CLOUDSAT   65.628              66.920            -1.292        10.307
FLDS_ISCCP       324.585             327.233            -2.649        10.810
FLNS_ISCCP        53.569              43.360            10.210        15.956
FLUT_CERES-EBAF  236.645             237.492            -0.847         6.837
FLUT_CERES       236.645             236.192             0.454         6.925
FLUT_ERBE        236.645             233.155             3.490         7.572
FLUTC_CERES-EBAF 254.592             261.406            -6.813         7.985
FLUTC_CERES      254.592             260.863            -6.271         7.760
FLUTC_ERBE       254.592             260.813            -6.221         7.920
FLNT_CAM         235.029            -999.000          -999.000      -999.000
FSDS_ISCCP       273.182             258.341            14.841        26.056
FSNS_ISCCP       230.618             215.170            15.448        27.003
FSNS_LARYEA      230.618             205.667            24.951        47.000
FSNTOA_CERES-EBAF331.070             307.843            23.227        32.633
FSNTOA_CERES     331.070             310.771            20.299        32.031
FSNTOA_ERBE      331.070             301.422            29.648        37.516
FSNTOAC_CERES-EBAF395.765             391.879             3.886        10.615
FSNTOAC_CERES    395.765             397.095            -1.330        21.771
FSNTOAC_ERBE     395.765             393.115             2.650        21.188
FSNT_CAM         326.629            -999.000          -999.000      -999.000
LHFLX_JRA25       63.581              67.901            -4.320        12.052
LHFLX_ECMWF       63.581              59.576             4.005        16.369
LHFLX_ERA40       63.581              65.088            -1.507        14.706
LHFLX_WHOI        63.581              56.730             6.851        20.298
LWCF_CERES-EBAF   17.947              23.913            -5.966         7.645
LWCF_CERES        17.947              24.639            -6.692         8.853
LWCF_ERBE         17.947              27.603            -9.656        11.902
PRECT_GPCP         2.128               2.260            -0.132         0.874
PREH2O_NVAP       19.531              19.273             0.258         1.429
PREH2O_AIRS       19.531              15.723             3.808         3.838
PREH2O_JRA25      19.531              19.772            -0.241         1.088
PREH2O_ECMWF      19.531              19.865            -0.334         1.366
PREH2O_ERA40      19.531              19.989            -0.458         1.142
PSL_JRA25       1006.355            1006.762            -0.407         4.609
PSL_NCEP        1006.355            1006.762            -0.407         3.939
SHFLX_JRA25       14.684              12.089             2.594         9.828
SHFLX_NCEP        14.684              10.035             4.648        13.507
SHFLX_LARYEA      14.684               7.010             7.674        11.160
STRESS_MAG_ERS     0.070               0.071            -0.001         0.037
STRESS_MAG_LARYEA  0.070               0.075            -0.005         0.037
STRESS_MAG_JRA25   0.070               0.081            -0.011         0.036
SWCF_CERES-EBAF  -64.695             -84.036            19.341        28.176
SWCF_CERES       -64.695             -85.970            21.275        40.409
SWCF_ERBE        -64.695             -90.940            26.245        41.977
AODVIS             0.054            -999.000          -999.000      -999.000
AODDUST            0.008            -999.000          -999.000      -999.000
SST_HADISST       15.875              15.876            -0.001         0.185
SST_HADISST_PI    16.614              16.223             0.391         0.496
SST_HADISST_PD    15.885              15.999            -0.114         0.328
TREFHT_LEGATES   284.064             284.951            -0.887         3.796
TREFHT_JRA25     284.064             285.105            -1.041         1.966
TS_NCEP          284.730             285.011            -0.281         1.920
TS_LAND_NCEP     275.819             277.592            -1.773         4.682
U_200_JRA25       18.454              19.114            -0.660         4.732
U_200_NCEP        18.454              19.013            -0.559         4.303
Z3_500_JRA25      55.488              55.788            -0.300         0.512
Z3_500_NCEP       55.488              55.668            -0.180         0.500
