DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM          -109.319            -999.000          -999.000      -999.000
RESSURF          -82.638            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-108.504            -115.248             6.744         9.515
RESTOA_ERBE     -108.504            -112.894             4.390        10.153
SOLIN_CERES-EBAF 154.262             154.594            -0.333         0.958
SOLIN_CERES      154.262             155.001            -0.739         1.201
CLDTOT_ISCCP      67.675              72.186            -4.511        16.690
CLDTOT_CLOUDSAT   67.675              70.360            -2.685        12.803
FLDS_ISCCP       289.056             291.652            -2.597        17.628
FLNS_ISCCP        58.020              47.135            10.886        14.456
FLUT_CERES-EBAF  216.584             219.711            -3.128         6.395
FLUT_CERES       216.584             219.044            -2.460         5.890
FLUT_ERBE        216.584             214.994             1.590         6.025
FLUTC_CERES-EBAF 237.529             246.142            -8.614         9.591
FLUTC_CERES      237.529             243.037            -5.509        10.247
FLUTC_ERBE       237.529             242.164            -4.636        12.411
FLNT_CAM         215.502            -999.000          -999.000      -999.000
FSDS_ISCCP        81.534              76.503             5.032        10.922
FSNS_ISCCP        73.487              69.336             4.152        10.464
FSNS_LARYEA       73.487              62.201            11.287        19.059
FSNTOA_CERES-EBAF108.079             104.463             3.616         8.225
FSNTOA_CERES     108.079             105.301             2.778         8.633
FSNTOA_ERBE      108.079             102.100             5.979        11.482
FSNTOAC_CERES-EBAF129.246             128.460             0.786         3.183
FSNTOAC_CERES    129.246             131.316            -2.070         3.843
FSNTOAC_ERBE     129.246             132.019            -2.773         5.787
FSNT_CAM         106.183            -999.000          -999.000      -999.000
LHFLX_JRA25       78.627              78.241             0.386        12.593
LHFLX_ECMWF       78.627              81.209            -2.583        15.297
LHFLX_ERA40       78.627              77.410             1.217        14.082
LHFLX_WHOI        78.627              81.413            -2.786        23.337
LWCF_CERES-EBAF   20.945              26.431            -5.486         7.637
LWCF_CERES        20.945              24.063            -3.118         9.238
LWCF_ERBE         20.945              27.114            -6.169        13.081
PRECT_GPCP         2.515               2.305             0.210         0.797
PREH2O_NVAP       13.073              12.610             0.462         1.471
PREH2O_AIRS       13.073              10.222             2.850         2.944
PREH2O_JRA25      13.073              13.097            -0.024         0.971
PREH2O_ECMWF      13.073              11.844             1.229         1.877
PREH2O_ERA40      13.073              12.876             0.196         1.215
PSL_JRA25       1007.422            1008.253            -0.831         3.773
PSL_NCEP        1007.422            1009.823            -2.401         6.285
SHFLX_JRA25       19.478              13.148             6.330        12.587
SHFLX_NCEP        19.478              11.654             7.824        16.350
SHFLX_LARYEA      19.478              20.020            -0.541        11.977
STRESS_MAG_ERS     0.097               0.089             0.008         0.027
STRESS_MAG_LARYEA  0.097               0.098            -0.001         0.025
STRESS_MAG_JRA25   0.097               0.112            -0.014         0.029
SWCF_CERES-EBAF  -21.167             -23.997             2.830         8.576
SWCF_CERES       -21.167             -25.258             4.092         9.063
SWCF_ERBE        -21.167             -28.279             7.112        10.622
AODVIS             0.050            -999.000          -999.000      -999.000
AODDUST            0.003            -999.000          -999.000      -999.000
SST_HADISST       13.063              13.082            -0.019         0.179
SST_HADISST_PI    13.731              13.324             0.407         0.502
SST_HADISST_PD    13.090              13.184            -0.094         0.360
TREFHT_LEGATES   276.877             277.596            -0.719         5.560
TREFHT_JRA25     276.877             278.303            -1.426         2.630
TS_NCEP          277.737             277.708             0.029         2.011
TS_LAND_NCEP     256.108             257.586            -1.478         3.628
U_200_JRA25       27.611              28.392            -0.782         3.832
U_200_NCEP        27.611              28.217            -0.607         3.731
Z3_500_JRA25      54.226              54.588            -0.362         0.466
Z3_500_NCEP       54.226              54.478            -0.253         0.489
