DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM            60.576            -999.000          -999.000      -999.000
RESSURF           28.159            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 63.147              56.821             6.327        14.819
RESTOA_ERBE       63.147              54.437             8.710        15.778
SOLIN_CERES-EBAF 408.426             407.800             0.627         0.545
SOLIN_CERES      408.426             409.428            -1.002         1.118
CLDTOT_ISCCP      59.937              61.487            -1.549        10.545
CLDTOT_CLOUDSAT   59.937              68.355            -8.418        13.152
FLDS_ISCCP       401.882             405.413            -3.531         9.708
FLNS_ISCCP        55.742              51.000             4.743        11.256
FLUT_CERES-EBAF  249.659             256.598            -6.940        14.682
FLUT_CERES       249.659             256.122            -6.463        13.267
FLUT_ERBE        249.659             251.107            -1.449        12.634
FLUTC_CERES-EBAF 280.448             286.767            -6.319         7.202
FLUTC_CERES      280.448             287.843            -7.394         7.936
FLUTC_ERBE       280.448             287.403            -6.955         7.901
FLNT_CAM         248.210            -999.000          -999.000      -999.000
FSDS_ISCCP       234.203             241.673            -7.470        21.416
FSNS_ISCCP       217.188             222.979            -5.791        20.890
FSNS_LARYEA      217.188             203.232            13.955        41.958
FSNTOA_CERES-EBAF312.806             313.419            -0.613        17.662
FSNTOA_CERES     312.806             319.097            -6.291        17.948
FSNTOA_ERBE      312.806             305.545             7.261        18.794
FSNTOAC_CERES-EBAF363.953             360.155             3.797         5.794
FSNTOAC_CERES    363.953             362.918             1.035         3.602
FSNTOAC_ERBE     363.953             359.167             4.785         7.648
FSNT_CAM         308.786            -999.000          -999.000      -999.000
LHFLX_JRA25      114.712             126.413           -11.700        23.440
LHFLX_ECMWF      114.712             122.472            -7.759        25.107
LHFLX_ERA40      114.712             115.198            -0.486        20.461
LHFLX_WHOI       114.712             112.865             1.847        29.972
LWCF_CERES-EBAF   30.790              30.168             0.622        10.785
LWCF_CERES        30.790              31.382            -0.592         9.817
LWCF_ERBE         30.790              36.117            -5.328        11.708
PRECT_GPCP         4.002               3.550             0.451         2.051
PREH2O_NVAP       39.294              40.071            -0.777         2.982
PREH2O_AIRS       39.294              33.228             6.066         6.068
PREH2O_JRA25      39.294              38.979             0.316         1.717
PREH2O_ECMWF      39.294              40.361            -1.066         2.625
PREH2O_ERA40      39.294              40.252            -0.958         2.930
PSL_JRA25       1010.433            1012.003            -1.570         1.568
PSL_NCEP        1010.433            1011.806            -1.374         1.518
SHFLX_JRA25       18.575              25.894            -7.319        12.172
SHFLX_NCEP        18.575              18.067             0.508        12.135
SHFLX_LARYEA      18.575              10.914             7.661         9.961
STRESS_MAG_ERS     0.049               0.055            -0.007         0.015
STRESS_MAG_LARYEA  0.049               0.063            -0.015         0.021
STRESS_MAG_JRA25   0.049               0.065            -0.017         0.016
SWCF_CERES-EBAF  -51.147             -46.736            -4.411        19.465
SWCF_CERES       -51.147             -43.718            -7.429        18.262
SWCF_ERBE        -51.147             -53.519             2.372        17.258
AODVIS             0.107            -999.000          -999.000      -999.000
AODDUST            0.025            -999.000          -999.000      -999.000
SST_HADISST       27.108              27.153            -0.045         0.134
SST_HADISST_PI    27.108              26.753             0.355         0.404
SST_HADISST_PD    27.108              27.209            -0.101         0.318
TREFHT_LEGATES   298.574             299.051            -0.477         1.067
TREFHT_JRA25     298.574             298.700            -0.126         0.861
TS_NCEP          299.635             299.564             0.071         0.950
TS_LAND_NCEP     297.369             297.266             0.104         1.741
U_200_JRA25        3.935               4.691            -0.756         1.931
U_200_NCEP         3.935               3.039             0.895         1.921
Z3_500_JRA25      58.261              58.608            -0.347         0.356
Z3_500_NCEP       58.261              58.598            -0.337         0.339
