DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM            64.656            -999.000          -999.000      -999.000
RESSURF           28.274            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 67.287              61.110             6.177        15.591
RESTOA_ERBE       67.287              58.956             8.331        16.033
SOLIN_CERES-EBAF 413.626             412.787             0.839         0.747
SOLIN_CERES      413.626             414.841            -1.215         1.337
CLDTOT_ISCCP      60.223              61.519            -1.296        11.849
CLDTOT_CLOUDSAT   60.223              69.501            -9.278        14.832
FLDS_ISCCP       399.210             402.115            -2.905        12.340
FLNS_ISCCP        56.944              50.753             6.191        13.886
FLUT_CERES-EBAF  249.146             255.246            -6.100        15.760
FLUT_CERES       249.146             254.359            -5.213        14.883
FLUT_ERBE        249.146             249.862            -0.716        14.121
FLUTC_CERES-EBAF 280.411             286.741            -6.329         7.493
FLUTC_CERES      280.411             287.467            -7.056         8.278
FLUTC_ERBE       280.411             286.996            -6.585         8.318
FLNT_CAM         247.686            -999.000          -999.000      -999.000
FSDS_ISCCP       237.628             244.027            -6.399        25.490
FSNS_ISCCP       220.351             225.253            -4.902        23.758
FSNS_LARYEA      220.351             206.280            14.071        43.086
FSNTOA_CERES-EBAF316.433             316.356             0.077        19.909
FSNTOA_CERES     316.433             321.990            -5.557        21.236
FSNTOA_ERBE      316.433             308.817             7.615        21.126
FSNTOAC_CERES-EBAF368.306             364.426             3.880         6.328
FSNTOAC_CERES    368.306             367.527             0.779         4.178
FSNTOAC_ERBE     368.306             363.302             5.003         7.826
FSNT_CAM         312.342            -999.000          -999.000      -999.000
LHFLX_JRA25      116.985             126.881            -9.896        26.357
LHFLX_ECMWF      116.985             121.885            -4.900        29.130
LHFLX_ERA40      116.985             115.737             1.248        25.360
LHFLX_WHOI       116.985             112.594             4.391        37.679
LWCF_CERES-EBAF   31.265              31.495            -0.230        12.277
LWCF_CERES        31.265              32.942            -1.677        11.706
LWCF_ERBE         31.265              36.937            -5.672        12.973
PRECT_GPCP         4.136               3.621             0.515         2.319
PREH2O_NVAP       38.587              39.409            -0.822         3.671
PREH2O_AIRS       38.587              32.872             5.715         6.251
PREH2O_JRA25      38.587              38.592            -0.005         2.266
PREH2O_ECMWF      38.587              39.290            -0.703         2.902
PREH2O_ERA40      38.587              39.531            -0.944         3.156
PSL_JRA25       1009.696            1011.675            -1.980         1.905
PSL_NCEP        1009.696            1011.464            -1.769         1.896
SHFLX_JRA25       18.148              24.816            -6.668        13.510
SHFLX_NCEP        18.148              17.457             0.691        11.945
SHFLX_LARYEA      18.148              11.065             7.082        10.064
STRESS_MAG_ERS     0.053               0.054            -0.001         0.015
STRESS_MAG_LARYEA  0.053               0.064            -0.011         0.020
STRESS_MAG_JRA25   0.053               0.064            -0.011         0.015
SWCF_CERES-EBAF  -51.873             -48.070            -3.803        21.937
SWCF_CERES       -51.873             -45.470            -6.403        21.668
SWCF_ERBE        -51.873             -54.328             2.455        19.858
AODVIS             0.099            -999.000          -999.000      -999.000
AODDUST            0.022            -999.000          -999.000      -999.000
SST_HADISST       27.106              27.101             0.005         0.143
SST_HADISST_PI    27.106              26.719             0.386         0.446
SST_HADISST_PD    27.106              27.154            -0.048         0.370
TREFHT_LEGATES   298.357             298.950            -0.592         1.254
TREFHT_JRA25     298.357             298.454            -0.097         0.934
TS_NCEP          299.395             299.340             0.055         1.068
TS_LAND_NCEP     296.332             296.516            -0.184         1.986
U_200_JRA25        5.665               6.661            -0.996         2.337
U_200_NCEP         5.665               4.852             0.813         2.566
Z3_500_JRA25      58.171              58.558            -0.387         0.399
Z3_500_NCEP       58.171              58.546            -0.375         0.380
