DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: l35_2c78d90 (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable        l35_2c78d90           OBS data           l35_2c78d90        RMSE
                                                         -OBS data
RESTOM            42.360            -999.000          -999.000      -999.000
RESSURF           10.508            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 44.843              38.805             6.038        16.393
RESTOA_ERBE       44.843              35.721             9.122        17.438
SOLIN_CERES-EBAF 389.201             389.022             0.179         0.412
SOLIN_CERES      389.201             390.382            -1.181         1.293
CLDTOT_ISCCP      59.405              61.425            -2.020        13.025
CLDTOT_CLOUDSAT   59.405              67.098            -7.693        15.383
FLDS_ISCCP       400.907             405.144            -4.237        10.840
FLNS_ISCCP        55.168              49.729             5.439        12.893
FLUT_CERES-EBAF  250.510             257.718            -7.208        18.444
FLUT_CERES       250.510             257.156            -6.646        17.381
FLUT_ERBE        250.510             252.209            -1.699        16.784
FLUTC_CERES-EBAF 280.049             286.374            -6.325         7.506
FLUTC_CERES      280.049             287.387            -7.338         8.276
FLUTC_ERBE       280.049             287.157            -7.108         8.523
FLNT_CAM         249.083            -999.000          -999.000      -999.000
FSDS_ISCCP       218.613             225.351            -6.738        24.676
FSNS_ISCCP       202.266             208.031            -5.765        23.186
FSNS_LARYEA      202.266             188.916            13.350        41.451
FSNTOA_CERES-EBAF295.353             296.523            -1.169        19.738
FSNTOA_CERES     295.353             299.991            -4.638        19.725
FSNTOA_ERBE      295.353             287.931             7.423        20.540
FSNTOAC_CERES-EBAF345.488             342.663             2.825         6.175
FSNTOAC_CERES    345.488             345.158             0.330         4.326
FSNTOAC_ERBE     345.488             341.182             4.307         8.012
FSNT_CAM         291.443            -999.000          -999.000      -999.000
LHFLX_JRA25      117.793             130.363           -12.569        32.142
LHFLX_ECMWF      117.793             128.863           -11.070        32.306
LHFLX_ERA40      117.793             118.851            -1.058        28.678
LHFLX_WHOI       117.793             117.644             0.149        38.276
LWCF_CERES-EBAF   29.539              28.654             0.884        14.437
LWCF_CERES        29.539              30.204            -0.665        13.774
LWCF_ERBE         29.539              34.714            -5.175        14.794
PRECT_GPCP         3.892               3.511             0.381         2.337
PREH2O_NVAP       39.239              39.792            -0.553         3.594
PREH2O_AIRS       39.239              32.655             6.584         6.871
PREH2O_JRA25      39.239              38.555             0.684         2.227
PREH2O_ECMWF      39.239              39.927            -0.688         3.374
PREH2O_ERA40      39.239              39.912            -0.673         3.433
PSL_JRA25       1011.195            1012.678            -1.483         1.626
PSL_NCEP        1011.195            1012.489            -1.294         1.513
SHFLX_JRA25       18.796              25.718            -6.922        12.826
SHFLX_NCEP        18.796              18.331             0.465        14.728
SHFLX_LARYEA      18.796              11.218             7.578         9.805
STRESS_MAG_ERS     0.066               0.066             0.000         0.017
STRESS_MAG_LARYEA  0.066               0.074            -0.007         0.021
STRESS_MAG_JRA25   0.066               0.077            -0.011         0.019
SWCF_CERES-EBAF  -50.135             -46.140            -3.995        21.652
SWCF_CERES       -50.135             -45.112            -5.022        20.155
SWCF_ERBE        -50.135             -53.150             3.015        19.874
AODVIS             0.132            -999.000          -999.000      -999.000
AODDUST            0.032            -999.000          -999.000      -999.000
SST_HADISST       26.863              26.920            -0.057         0.168
SST_HADISST_PI    26.863              26.522             0.341         0.405
SST_HADISST_PD    26.863              26.972            -0.110         0.332
TREFHT_LEGATES   298.354             298.724            -0.370         1.057
TREFHT_JRA25     298.354             298.440            -0.086         0.895
TS_NCEP          299.371             299.340             0.031         1.017
TS_LAND_NCEP     297.091             297.063             0.028         1.881
U_200_JRA25       -0.210               0.510            -0.721         3.119
U_200_NCEP        -0.210              -0.948             0.737         3.039
Z3_500_JRA25      58.306              58.629            -0.323         0.336
Z3_500_NCEP       58.306              58.627            -0.322         0.329
