DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM             8.734            -999.000          -999.000      -999.000
RESSURF            9.386            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 10.823               0.992             9.831        14.852
RESTOA_ERBE       10.823               0.059            10.764        15.356
SOLIN_CERES-EBAF 340.424             340.054             0.370         0.656
SOLIN_CERES      340.424             341.479            -1.055         0.949
CLDTOT_ISCCP      64.729              66.800            -2.070        11.422
CLDTOT_CLOUDSAT   64.729              66.824            -2.094        10.043
FLDS_ISCCP       338.061             343.347            -5.285        13.213
FLNS_ISCCP        58.632              49.425             9.207        14.529
FLUT_CERES-EBAF  235.785             239.574            -3.789         9.343
FLUT_CERES       235.785             238.963            -3.178         8.565
FLUT_ERBE        235.785             233.946             1.839         9.105
FLUTC_CERES-EBAF 257.743             266.051            -8.308         9.040
FLUTC_CERES      257.743             266.878            -9.136        10.976
FLUTC_ERBE       257.743             264.429            -6.686         8.695
FLNT_CAM         234.414            -999.000          -999.000      -999.000
FSDS_ISCCP       192.729             189.390             3.339        17.790
FSNS_ISCCP       168.380             165.893             2.488        17.358
FSNS_LARYEA      168.380             154.089            14.292        39.674
FSNTOA_CERES-EBAF246.608             240.566             6.041        16.262
FSNTOA_CERES     246.608             244.691             1.916        15.967
FSNTOA_ERBE      246.608             234.004            12.603        19.573
FSNTOAC_CERES-EBAF289.987             287.638             2.349         6.650
FSNTOAC_CERES    289.987             294.702            -4.716        15.741
FSNTOAC_ERBE     289.987             289.329             0.658        15.168
FSNT_CAM         243.149            -999.000          -999.000      -999.000
LHFLX_JRA25       80.125              87.935            -7.810        16.297
LHFLX_ECMWF       80.125              84.948            -4.823        17.488
LHFLX_ERA40       80.125              82.367            -2.242        14.367
LHFLX_WHOI        80.125              89.083            -8.959        23.959
LWCF_CERES-EBAF   21.957              26.476            -4.518         8.371
LWCF_CERES        21.957              27.194            -5.237         9.413
LWCF_ERBE         21.957              30.355            -8.398        11.743
PRECT_GPCP         2.760               2.674             0.086         1.404
PREH2O_NVAP       25.315              24.597             0.719         2.727
PREH2O_AIRS       25.315              20.425             4.890         5.871
PREH2O_JRA25      25.315              24.314             1.002         1.925
PREH2O_ECMWF      25.315              24.332             0.984         2.268
PREH2O_ERA40      25.315              24.948             0.367         1.847
PSL_JRA25       1010.643            1011.280            -0.637         2.537
PSL_NCEP        1010.643            1011.625            -0.982         2.898
SHFLX_JRA25       20.238              19.372             0.866        11.342
SHFLX_NCEP        20.238              15.795             4.443        15.620
SHFLX_LARYEA      20.238              13.236             7.001        10.643
STRESS_MAG_ERS     0.059               0.064            -0.005         0.021
STRESS_MAG_LARYEA  0.059               0.071            -0.012         0.025
STRESS_MAG_JRA25   0.059               0.080            -0.021         0.027
SWCF_CERES-EBAF  -43.379             -47.071             3.692        15.028
SWCF_CERES       -43.379             -48.586             5.207        19.927
SWCF_ERBE        -43.379             -54.163            10.785        21.132
AODVIS             0.100            -999.000          -999.000      -999.000
AODDUST            0.023            -999.000          -999.000      -999.000
SST_HADISST       20.278              20.346            -0.068         0.177
SST_HADISST_PI    20.677              20.376             0.302         0.418
SST_HADISST_PD    20.263              20.442            -0.179         0.391
TREFHT_LEGATES   286.956             287.645            -0.688         3.283
TREFHT_JRA25     286.956             287.605            -0.649         1.744
TS_NCEP          287.755             287.683             0.073         1.644
TS_LAND_NCEP     281.352             281.155             0.197         2.844
U_200_JRA25       15.571              15.565             0.005         2.833
U_200_NCEP        15.571              15.297             0.274         2.907
Z3_500_JRA25      56.430              56.601            -0.171         0.320
Z3_500_NCEP       56.430              56.581            -0.151         0.327
