DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM            18.218            -999.000          -999.000      -999.000
RESSURF           18.422            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 20.328               7.699            12.630        21.467
RESTOA_ERBE       20.328               7.330            12.999        22.296
SOLIN_CERES-EBAF 350.548             350.113             0.436         0.702
SOLIN_CERES      350.548             351.585            -1.037         1.159
CLDTOT_ISCCP      67.379              67.302             0.077        13.140
CLDTOT_CLOUDSAT   67.379              67.086             0.293        12.539
FLDS_ISCCP       329.296             336.180            -6.883        17.490
FLNS_ISCCP        57.194              48.408             8.786        15.767
FLUT_CERES-EBAF  232.096             236.726            -4.629        11.633
FLUT_CERES       232.096             235.838            -3.742        11.027
FLUT_ERBE        232.096             231.328             0.768        10.591
FLUTC_CERES-EBAF 253.815             262.886            -9.071        10.241
FLUTC_CERES      253.815             263.664            -9.849        11.808
FLUTC_ERBE       253.815             261.152            -7.338        10.017
FLNT_CAM         230.695            -999.000          -999.000      -999.000
FSDS_ISCCP       200.127             195.732             4.395        22.796
FSNS_ISCCP       173.700             169.925             3.775        22.245
FSNS_LARYEA      173.700             169.192             4.508        41.391
FSNTOA_CERES-EBAF252.425             244.424             8.000        23.362
FSNTOA_CERES     252.425             248.198             4.227        23.838
FSNTOA_ERBE      252.425             238.658            13.767        26.224
FSNTOAC_CERES-EBAF298.337             296.072             2.265         8.888
FSNTOAC_CERES    298.337             301.121            -2.784        14.917
FSNTOAC_ERBE     298.337             296.223             2.114        15.189
FSNT_CAM         248.913            -999.000          -999.000      -999.000
LHFLX_JRA25       79.548              87.171            -7.623        18.788
LHFLX_ECMWF       79.548              81.881            -2.333        20.925
LHFLX_ERA40       79.548              81.612            -2.064        17.112
LHFLX_WHOI        79.548              90.819           -11.271        28.799
LWCF_CERES-EBAF   21.718              26.159            -4.441        10.001
LWCF_CERES        21.718              27.313            -5.595        11.700
LWCF_ERBE         21.718              29.706            -7.988        13.273
PRECT_GPCP         2.724               2.673             0.051         1.599
PREH2O_NVAP       24.057              23.457             0.599         2.764
PREH2O_AIRS       24.057              19.619             4.438         5.621
PREH2O_JRA25      24.057              23.369             0.688         1.975
PREH2O_ECMWF      24.057              23.343             0.714         2.246
PREH2O_ERA40      24.057              23.787             0.270         1.938
PSL_JRA25       1010.843            1011.403            -0.560         2.857
PSL_NCEP        1010.843            1011.448            -0.605         2.671
SHFLX_JRA25       18.537              17.546             0.991        13.029
SHFLX_NCEP        18.537              13.828             4.709        16.280
SHFLX_LARYEA      18.537              14.628             3.909        12.295
STRESS_MAG_ERS     0.059               0.065            -0.006         0.027
STRESS_MAG_LARYEA  0.059               0.073            -0.014         0.031
STRESS_MAG_JRA25   0.059               0.082            -0.023         0.031
SWCF_CERES-EBAF  -45.912             -51.648             5.736        21.402
SWCF_CERES       -45.912             -52.425             6.512        28.344
SWCF_ERBE        -45.912             -57.131            11.219        28.422
AODVIS             0.076            -999.000          -999.000      -999.000
AODDUST            0.013            -999.000          -999.000      -999.000
SST_HADISST       20.399              20.440            -0.041         0.208
SST_HADISST_PI    20.786              20.468             0.319         0.453
SST_HADISST_PD    20.389              20.539            -0.150         0.428
TREFHT_LEGATES   284.790             286.083            -1.293         3.627
TREFHT_JRA25     284.790             286.052            -1.263         3.140
TS_NCEP          285.586             286.195            -0.609         3.058
TS_LAND_NCEP     274.118             276.314            -2.196         5.631
U_200_JRA25       16.961              16.874             0.087         3.807
U_200_NCEP        16.961              16.479             0.482         3.719
Z3_500_JRA25      56.157              56.394            -0.237         0.392
Z3_500_NCEP       56.157              56.368            -0.211         0.387
