DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM            -0.735            -999.000          -999.000      -999.000
RESSURF           -0.999            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF  1.274              -7.075             8.349        18.362
RESTOA_ERBE        1.274              -8.981            10.255        20.264
SOLIN_CERES-EBAF 330.489             330.165             0.324         1.289
SOLIN_CERES      330.489             331.499            -1.010         1.093
CLDTOT_ISCCP      62.593              65.866            -3.273        14.713
CLDTOT_CLOUDSAT   62.593              65.816            -3.223        14.090
FLDS_ISCCP       348.776             351.719            -2.943        15.770
FLNS_ISCCP        58.696              48.809             9.887        17.305
FLUT_CERES-EBAF  239.963             243.194            -3.231        11.462
FLUT_CERES       239.963             242.699            -2.736        10.809
FLUT_ERBE        239.963             237.664             2.299        11.602
FLUTC_CERES-EBAF 262.193             269.796            -7.602         8.698
FLUTC_CERES      262.193             269.060            -6.866         9.498
FLUTC_ERBE       262.193             267.818            -5.624        10.319
FLNT_CAM         238.607            -999.000          -999.000      -999.000
FSDS_ISCCP       182.541             180.767             1.774        23.376
FSNS_ISCCP       162.320             160.946             1.374        23.258
FSNS_LARYEA      162.320             137.530            24.790        49.499
FSNTOA_CERES-EBAF241.237             236.119             5.118        21.365
FSNTOA_CERES     241.237             238.808             2.429        21.879
FSNTOA_ERBE      241.237             228.683            12.554        25.421
FSNTOAC_CERES-EBAF283.510             280.474             3.036        10.095
FSNTOAC_CERES    283.510             285.103            -1.593         9.738
FSNTOAC_ERBE     283.510             282.020             1.490        11.328
FSNT_CAM         237.872            -999.000          -999.000      -999.000
LHFLX_JRA25       82.572              90.576            -8.004        22.811
LHFLX_ECMWF       82.572              90.023            -7.451        22.325
LHFLX_ERA40       82.572              84.806            -2.234        20.676
LHFLX_WHOI        82.572              90.262            -7.689        30.676
LWCF_CERES-EBAF   22.230              26.600            -4.370        10.314
LWCF_CERES        22.230              26.336            -4.105        11.171
LWCF_ERBE         22.230              29.991            -7.760        14.015
PRECT_GPCP         2.846               2.704             0.142         1.944
PREH2O_NVAP       27.165              26.259             0.907         3.836
PREH2O_AIRS       27.165              21.550             5.615         7.171
PREH2O_JRA25      27.165              25.672             1.493         3.051
PREH2O_ECMWF      27.165              25.585             1.581         3.563
PREH2O_ERA40      27.165              26.495             0.670         2.770
PSL_JRA25       1010.478            1011.154            -0.676         3.328
PSL_NCEP        1010.478            1011.687            -1.209         3.896
SHFLX_JRA25       22.050              20.997             1.053        13.222
SHFLX_NCEP        22.050              18.362             3.688        19.872
SHFLX_LARYEA      22.050              12.813             9.237        13.719
STRESS_MAG_ERS     0.073               0.068             0.005         0.028
STRESS_MAG_LARYEA  0.073               0.074            -0.001         0.026
STRESS_MAG_JRA25   0.073               0.082            -0.009         0.029
SWCF_CERES-EBAF  -42.273             -44.355             2.082        19.196
SWCF_CERES       -42.273             -45.685             3.411        22.116
SWCF_ERBE        -42.273             -52.266             9.993        23.941
AODVIS             0.134            -999.000          -999.000      -999.000
AODDUST            0.034            -999.000          -999.000      -999.000
SST_HADISST       20.164              20.234            -0.070         0.196
SST_HADISST_PI    20.562              20.261             0.301         0.436
SST_HADISST_PD    20.162              20.345            -0.182         0.417
TREFHT_LEGATES   289.142             289.241            -0.098         3.561
TREFHT_JRA25     289.142             289.155            -0.013         1.726
TS_NCEP          289.920             289.281             0.639         2.096
TS_LAND_NCEP     288.360             286.396             1.964         3.621
U_200_JRA25       12.721              12.836            -0.115         3.865
U_200_NCEP        12.721              12.648             0.073         3.952
Z3_500_JRA25      56.783              56.868            -0.085         0.348
Z3_500_NCEP       56.783              56.855            -0.072         0.371
