DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM           -21.513            -999.000          -999.000      -999.000
RESSURF           -3.124            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-19.680             -29.314             9.635        13.915
RESTOA_ERBE      -19.680             -29.039             9.359        14.163
SOLIN_CERES-EBAF 304.976             304.924             0.051         0.440
SOLIN_CERES      304.976             305.738            -0.763         0.960
CLDTOT_ISCCP      61.699              65.562            -3.863        12.121
CLDTOT_CLOUDSAT   61.699              62.809            -1.109        10.634
FLDS_ISCCP       305.497             315.503           -10.006        16.316
FLNS_ISCCP        62.429              52.078            10.351        15.237
FLUT_CERES-EBAF  230.331             233.672            -3.341         7.167
FLUT_CERES       230.331             232.923            -2.592         6.531
FLUT_ERBE        230.331             227.565             2.765         8.011
FLUTC_CERES-EBAF 248.450             257.458            -9.008         9.970
FLUTC_CERES      248.450             259.871           -11.421        14.531
FLUTC_ERBE       248.450             254.629            -6.178         8.920
FLNT_CAM         229.004            -999.000          -999.000      -999.000
FSDS_ISCCP       171.727             162.714             9.013        17.288
FSNS_ISCCP       141.013             135.408             5.605        16.695
FSNS_LARYEA      141.013             114.976            26.036        47.077
FSNTOA_CERES-EBAF210.651             204.358             6.293        14.995
FSNTOA_CERES     210.651             207.346             3.305        14.374
FSNTOA_ERBE      210.651             198.526            12.125        19.195
FSNTOAC_CERES-EBAF249.029             246.466             2.563         9.256
FSNTOAC_CERES    249.029             258.978            -9.949        23.048
FSNTOAC_ERBE     249.029             248.851             0.178        14.225
FSNT_CAM         207.491            -999.000          -999.000      -999.000
LHFLX_JRA25       56.721              66.113            -9.392        14.225
LHFLX_ECMWF       56.721              61.263            -4.543        14.797
LHFLX_ERA40       56.721              62.197            -5.476        13.487
LHFLX_WHOI        56.721              83.610           -26.889        25.476
LWCF_CERES-EBAF   18.119              23.784            -5.665         7.659
LWCF_CERES        18.119              25.277            -7.158        10.072
LWCF_ERBE         18.119              27.000            -8.880        11.055
PRECT_GPCP         2.056               2.116            -0.059         0.916
PREH2O_NVAP       17.611              17.871            -0.259         2.454
PREH2O_AIRS       17.611              13.782             3.830         4.005
PREH2O_JRA25      17.611              17.417             0.194         1.248
PREH2O_ECMWF      17.611              16.927             0.685         1.699
PREH2O_ERA40      17.611              17.958            -0.347         1.466
PSL_JRA25       1014.513            1014.805            -0.292         2.449
PSL_NCEP        1014.513            1014.792            -0.279         2.478
SHFLX_JRA25       24.987              19.966             5.021        11.988
SHFLX_NCEP        24.987              18.553             6.434        21.387
SHFLX_LARYEA      24.987              16.553             8.434        12.890
STRESS_MAG_ERS     0.039               0.050            -0.010         0.020
STRESS_MAG_LARYEA  0.039               0.054            -0.015         0.026
STRESS_MAG_JRA25   0.039               0.077            -0.037         0.034
SWCF_CERES-EBAF  -38.378             -42.108             3.730        12.183
SWCF_CERES       -38.378             -47.759             9.381        20.059
SWCF_ERBE        -38.378             -49.567            11.189        18.536
AODVIS             0.095            -999.000          -999.000      -999.000
AODDUST            0.026            -999.000          -999.000      -999.000
SST_HADISST       17.847              18.041            -0.194         0.268
SST_HADISST_PI    17.917              17.856             0.060         0.348
SST_HADISST_PD    17.770              18.215            -0.445         0.604
TREFHT_LEGATES   281.458             282.859            -1.400         2.956
TREFHT_JRA25     281.458             283.000            -1.541         1.913
TS_NCEP          282.117             282.324            -0.206         2.033
TS_LAND_NCEP     278.449             278.339             0.110         2.807
U_200_JRA25       18.360              18.744            -0.384         2.427
U_200_NCEP        18.360              18.868            -0.508         2.353
Z3_500_JRA25      55.965              56.157            -0.192         0.322
Z3_500_NCEP       55.965              56.108            -0.143         0.338
