DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM          -103.516            -999.000          -999.000      -999.000
RESSURF          -74.358            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-102.659            -110.480             7.821        11.083
RESTOA_ERBE     -102.659            -105.482             2.823         9.256
SOLIN_CERES-EBAF 166.327             165.017             1.310         0.790
SOLIN_CERES      166.327             167.165            -0.839         1.319
CLDTOT_ISCCP      68.960              67.029             1.931        14.376
CLDTOT_CLOUDSAT   68.960              64.522             4.438        14.963
FLDS_ISCCP       262.390             278.873           -16.483        26.074
FLNS_ISCCP        59.342              51.100             8.242        14.832
FLUT_CERES-EBAF  210.625             216.706            -6.081         8.882
FLUT_CERES       210.625             216.203            -5.578         8.465
FLUT_ERBE        210.625             210.878            -0.253         7.071
FLUTC_CERES-EBAF 228.321             239.566           -11.245        12.633
FLUTC_CERES      228.321             241.228           -12.907        16.030
FLUTC_ERBE       228.321             235.515            -7.194        11.534
FLNT_CAM         209.498            -999.000          -999.000      -999.000
FSDS_ISCCP        90.512              84.595             5.918        12.160
FSNS_ISCCP        71.109              69.084             2.025        11.156
FSNS_LARYEA       71.109              61.648             9.461        26.297
FSNTOA_CERES-EBAF107.966             106.226             1.741        10.350
FSNTOA_CERES     107.966             108.801            -0.834         9.773
FSNTOA_ERBE      107.966             105.396             2.570        11.138
FSNTOAC_CERES-EBAF129.806             129.206             0.600         9.761
FSNTOAC_CERES    129.806             135.158            -5.352        12.943
FSNTOAC_ERBE     129.806             131.992            -2.186        13.262
FSNT_CAM         105.983            -999.000          -999.000      -999.000
LHFLX_JRA25       63.683              69.138            -5.454        17.177
LHFLX_ECMWF       63.683              63.989            -0.306        20.378
LHFLX_ERA40       63.683              66.243            -2.560        17.718
LHFLX_WHOI        63.683             109.110           -45.427        38.679
LWCF_CERES-EBAF   17.696              22.858            -5.163         7.728
LWCF_CERES        17.696              24.061            -6.365        11.529
LWCF_ERBE         17.696              24.538            -6.843        11.487
PRECT_GPCP         2.084               2.099            -0.016         0.949
PREH2O_NVAP       11.149              11.613            -0.464         1.883
PREH2O_AIRS       11.149               8.740             2.409         2.749
PREH2O_JRA25      11.149              11.490            -0.341         1.165
PREH2O_ECMWF      11.149              10.796             0.354         1.217
PREH2O_ERA40      11.149              11.494            -0.344         1.209
PSL_JRA25       1015.943            1016.119            -0.175         3.674
PSL_NCEP        1015.943            1016.118            -0.174         3.705
SHFLX_JRA25       22.442              16.299             6.143        15.046
SHFLX_NCEP        22.442              13.974             8.468        21.834
SHFLX_LARYEA      22.442              30.830            -8.388        15.471
STRESS_MAG_ERS     0.065               0.073            -0.007         0.040
STRESS_MAG_LARYEA  0.065               0.085            -0.019         0.045
STRESS_MAG_JRA25   0.065               0.102            -0.036         0.052
SWCF_CERES-EBAF  -21.840             -22.980             1.140         7.161
SWCF_CERES       -21.840             -25.991             4.151        12.463
SWCF_ERBE        -21.840             -26.198             4.358        11.626
AODVIS             0.051            -999.000          -999.000      -999.000
AODDUST            0.009            -999.000          -999.000      -999.000
SST_HADISST       15.732              15.935            -0.203         0.320
SST_HADISST_PI    15.804              15.740             0.064         0.385
SST_HADISST_PD    15.681              16.090            -0.409         0.638
TREFHT_LEGATES   271.297             274.285            -2.988         4.874
TREFHT_JRA25     271.297             275.012            -3.715         4.919
TS_NCEP          272.009             274.169            -2.160         4.732
TS_LAND_NCEP     261.532             265.822            -4.290         6.852
U_200_JRA25       25.149              25.608            -0.459         4.137
U_200_NCEP        25.149              25.626            -0.477         3.997
Z3_500_JRA25      54.561              54.944            -0.383         0.508
Z3_500_NCEP       54.561              54.880            -0.318         0.524
