DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM            65.977            -999.000          -999.000      -999.000
RESSURF           72.654            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 68.702              53.400            15.302        26.514
RESTOA_ERBE       68.702              50.014            18.688        29.624
SOLIN_CERES-EBAF 446.377             444.548             1.829         1.985
SOLIN_CERES      446.377             446.695            -0.318         0.671
CLDTOT_ISCCP      56.123              64.008            -7.886        16.820
CLDTOT_CLOUDSAT   56.123              59.822            -3.699        16.547
FLDS_ISCCP       354.799             358.102            -3.303        19.049
FLNS_ISCCP        61.643              49.558            12.084        21.568
FLUT_CERES-EBAF  250.499             251.578            -1.079        10.118
FLUT_CERES       250.499             251.302            -0.803         9.740
FLUT_ERBE        250.499             245.718             4.782        12.564
FLUTC_CERES-EBAF 269.154             276.215            -7.061         8.567
FLUTC_CERES      269.154             276.000            -6.847         8.784
FLUTC_ERBE       269.154             274.105            -4.951         8.209
FLNT_CAM         248.954            -999.000          -999.000      -999.000
FSDS_ISCCP       250.027             240.231             9.796        30.603
FSNS_ISCCP       213.767             205.244             8.523        31.421
FSNS_LARYEA      213.767             168.148            45.619        81.073
FSNTOA_CERES-EBAF319.201             304.979            14.222        29.590
FSNTOA_CERES     319.201             308.616            10.586        30.103
FSNTOA_ERBE      319.201             295.731            23.470        36.619
FSNTOAC_CERES-EBAF376.025             367.835             8.190        16.583
FSNTOAC_CERES    376.025             375.257             0.768        15.822
FSNTOAC_ERBE     376.025             371.647             4.378        17.523
FSNT_CAM         314.931            -999.000          -999.000      -999.000
LHFLX_JRA25       50.775              64.453           -13.678        22.667
LHFLX_ECMWF       50.775              59.810            -9.035        20.237
LHFLX_ERA40       50.775              59.346            -8.571        19.988
LHFLX_WHOI        50.775              56.709            -5.934        26.419
LWCF_CERES-EBAF   18.654              24.634            -5.980        10.404
LWCF_CERES        18.654              24.577            -5.923        10.588
LWCF_ERBE         18.654              28.113            -9.459        13.361
PRECT_GPCP         2.155               2.263            -0.107         1.499
PREH2O_NVAP       26.391              26.308             0.083         4.570
PREH2O_AIRS       26.391              20.502             5.890         7.017
PREH2O_JRA25      26.391              25.083             1.308         3.135
PREH2O_ECMWF      26.391              24.914             1.478         3.806
PREH2O_ERA40      26.391              26.370             0.021         3.005
PSL_JRA25       1012.148            1012.860            -0.711         2.904
PSL_NCEP        1012.148            1012.746            -0.598         3.000
SHFLX_JRA25       28.696              24.422             4.274        14.933
SHFLX_NCEP        28.696              25.101             3.595        27.235
SHFLX_LARYEA      28.696               4.914            23.782        19.668
STRESS_MAG_ERS     0.037               0.036             0.001         0.020
STRESS_MAG_LARYEA  0.037               0.034             0.003         0.016
STRESS_MAG_JRA25   0.037               0.058            -0.021         0.020
SWCF_CERES-EBAF  -56.824             -62.856             6.033        24.118
SWCF_CERES       -56.824             -66.559             9.735        30.342
SWCF_ERBE        -56.824             -75.259            18.435        34.040
AODVIS             0.149            -999.000          -999.000      -999.000
AODDUST            0.044            -999.000          -999.000      -999.000
SST_HADISST       20.133              20.320            -0.187         0.263
SST_HADISST_PI    20.153              20.108             0.045         0.365
SST_HADISST_PD    20.050              20.527            -0.478         0.610
TREFHT_LEGATES   291.503             291.356             0.146         2.683
TREFHT_JRA25     291.503             291.073             0.429         1.675
TS_NCEP          292.097             290.747             1.350         2.830
TS_LAND_NCEP     294.664             291.171             3.494         4.173
U_200_JRA25       10.159              10.478            -0.319         3.106
U_200_NCEP        10.159              10.741            -0.582         3.184
Z3_500_JRA25      57.498              57.479             0.019         0.291
Z3_500_NCEP       57.498              57.451             0.048         0.310
