DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM           -15.603            -999.000          -999.000      -999.000
RESSURF            3.641            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-13.757             -26.742            12.985        16.720
RESTOA_ERBE      -13.757             -25.485            11.728        16.442
SOLIN_CERES-EBAF 305.986             304.755             1.232         0.897
SOLIN_CERES      305.986             306.477            -0.491         0.716
CLDTOT_ISCCP      68.660              73.376            -4.716        11.971
CLDTOT_CLOUDSAT   68.660              69.107            -0.447         8.113
FLDS_ISCCP       304.582             308.825            -4.242        12.786
FLNS_ISCCP        57.325              45.189            12.136        15.875
FLUT_CERES-EBAF  225.785             227.778            -1.993         5.372
FLUT_CERES       225.785             227.139            -1.353         5.033
FLUT_ERBE        225.785             223.082             2.703         5.977
FLUTC_CERES-EBAF 245.631             253.108            -7.477         8.249
FLUTC_CERES      245.631             252.060            -6.429         7.428
FLUTC_ERBE       245.631             251.144            -5.512         7.185
FLNT_CAM         224.448            -999.000          -999.000      -999.000
FSDS_ISCCP       171.081             163.531             7.550        16.020
FSNS_ISCCP       145.728             139.015             6.713        15.553
FSNS_LARYEA      145.728             129.971            15.757        29.491
FSNTOA_CERES-EBAF212.028             201.037            10.991        16.711
FSNTOA_CERES     212.028             204.572             7.456        15.836
FSNTOA_ERBE      212.028             197.597            14.431        19.790
FSNTOAC_CERES-EBAF256.410             253.419             2.991         4.844
FSNTOAC_CERES    256.410             259.407            -2.997        14.348
FSNTOAC_ERBE     256.410             259.631            -3.220        20.995
FSNT_CAM         208.845            -999.000          -999.000      -999.000
LHFLX_JRA25       69.161              73.108            -3.948         9.971
LHFLX_ECMWF       69.161              70.927            -1.766        13.652
LHFLX_ERA40       69.161              71.408            -2.247        12.404
LHFLX_WHOI        69.161              67.411             1.750        19.121
LWCF_CERES-EBAF   19.846              25.329            -5.483         6.713
LWCF_CERES        19.846              24.751            -4.905         6.775
LWCF_ERBE         19.846              27.920            -8.074         9.774
PRECT_GPCP         2.281               2.321            -0.040         0.666
PREH2O_NVAP       16.152              15.774             0.378         1.395
PREH2O_AIRS       16.152              12.814             3.338         3.312
PREH2O_JRA25      16.152              16.265            -0.113         0.752
PREH2O_ECMWF      16.152              15.631             0.522         1.341
PREH2O_ERA40      16.152              16.264            -0.112         1.019
PSL_JRA25       1006.639            1007.365            -0.726         3.393
PSL_NCEP        1006.639            1008.276            -1.636         4.196
SHFLX_JRA25       15.601              12.715             2.886         9.608
SHFLX_NCEP        15.601              10.753             4.848        11.552
SHFLX_LARYEA      15.601              13.347             2.254         8.536
STRESS_MAG_ERS     0.084               0.081             0.004         0.026
STRESS_MAG_LARYEA  0.084               0.089            -0.005         0.027
STRESS_MAG_JRA25   0.084               0.099            -0.015         0.030
SWCF_CERES-EBAF  -44.382             -52.382             8.000        14.607
SWCF_CERES       -44.382             -54.481            10.099        21.850
SWCF_ERBE        -44.382             -59.408            15.026        25.521
AODVIS             0.047            -999.000          -999.000      -999.000
AODDUST            0.006            -999.000          -999.000      -999.000
SST_HADISST       14.377              14.399            -0.022         0.153
SST_HADISST_PI    15.080              14.697             0.383         0.467
SST_HADISST_PD    14.385              14.498            -0.113         0.298
TREFHT_LEGATES   280.409             280.969            -0.560         4.749
TREFHT_JRA25     280.409             281.520            -1.111         2.147
TS_NCEP          281.037             281.104            -0.067         1.636
TS_LAND_NCEP     265.453             266.347            -0.894         3.650
U_200_JRA25       23.936              24.175            -0.239         3.367
U_200_NCEP        23.936              24.041            -0.104         3.367
Z3_500_JRA25      54.871              55.139            -0.269         0.393
Z3_500_NCEP       54.871              55.027            -0.156         0.406
