DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM            90.140            -999.000          -999.000      -999.000
RESSURF           98.934            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 92.965              70.351            22.614        32.233
RESTOA_ERBE       92.965              68.266            24.698        34.002
SOLIN_CERES-EBAF 469.943             470.051            -0.108         0.541
SOLIN_CERES      469.943             470.148            -0.205         0.696
CLDTOT_ISCCP      67.697              73.385            -5.688        12.309
CLDTOT_CLOUDSAT   67.697              66.920             0.777         9.513
FLDS_ISCCP       323.559             327.233            -3.675        11.897
FLNS_ISCCP        55.188              43.360            11.828        18.213
FLUT_CERES-EBAF  236.498             237.492            -0.994         6.970
FLUT_CERES       236.498             236.192             0.306         6.835
FLUT_ERBE        236.498             233.155             3.342         7.509
FLUTC_CERES-EBAF 254.307             261.406            -7.099         8.111
FLUTC_CERES      254.307             260.863            -6.556         7.844
FLUTC_ERBE       254.307             260.813            -6.506         8.060
FLNT_CAM         234.880            -999.000          -999.000      -999.000
FSDS_ISCCP       271.923             258.341            13.582        29.242
FSNS_ISCCP       229.049             215.170            13.878        29.313
FSNS_LARYEA      229.049             205.667            23.381        47.224
FSNTOA_CERES-EBAF329.462             307.843            21.619        34.242
FSNTOA_CERES     329.462             310.771            18.691        34.675
FSNTOA_ERBE      329.462             301.422            28.041        38.716
FSNTOAC_CERES-EBAF395.854             391.879             3.975        10.486
FSNTOAC_CERES    395.854             397.095            -1.241        22.128
FSNTOAC_ERBE     395.854             393.115             2.740        21.550
FSNT_CAM         325.020            -999.000          -999.000      -999.000
LHFLX_JRA25       61.276              67.901            -6.625        12.282
LHFLX_ECMWF       61.276              59.576             1.700        15.584
LHFLX_ERA40       61.276              65.088            -3.812        13.763
LHFLX_WHOI        61.276              56.730             4.546        18.535
LWCF_CERES-EBAF   17.809              23.913            -6.104         8.089
LWCF_CERES        17.809              24.639            -6.829         9.387
LWCF_ERBE         17.809              27.603            -9.794        12.147
PRECT_GPCP         2.107               2.260            -0.153         0.827
PREH2O_NVAP       19.688              19.273             0.415         1.683
PREH2O_AIRS       19.688              15.723             3.964         4.043
PREH2O_JRA25      19.688              19.772            -0.085         1.124
PREH2O_ECMWF      19.688              19.865            -0.178         1.378
PREH2O_ERA40      19.688              19.989            -0.301         1.248
PSL_JRA25       1006.086            1006.762            -0.676         2.992
PSL_NCEP        1006.086            1006.762            -0.675         2.486
SHFLX_JRA25       13.651              12.089             1.561        10.117
SHFLX_NCEP        13.651              10.035             3.615        12.717
SHFLX_LARYEA      13.651               7.010             6.641        10.947
STRESS_MAG_ERS     0.069               0.071            -0.002         0.027
STRESS_MAG_LARYEA  0.069               0.075            -0.005         0.027
STRESS_MAG_JRA25   0.069               0.081            -0.011         0.027
SWCF_CERES-EBAF  -66.392             -84.036            17.644        30.262
SWCF_CERES       -66.392             -85.970            19.578        42.831
SWCF_ERBE        -66.392             -90.940            24.548        43.597
AODVIS             0.045            -999.000          -999.000      -999.000
AODDUST            0.008            -999.000          -999.000      -999.000
SST_HADISST       15.875              15.876            -0.001         0.185
SST_HADISST_PI    16.614              16.223             0.391         0.496
SST_HADISST_PD    15.885              15.999            -0.114         0.328
TREFHT_LEGATES   284.267             284.951            -0.683         3.796
TREFHT_JRA25     284.267             285.105            -0.837         2.019
TS_NCEP          284.821             285.011            -0.190         2.087
TS_LAND_NCEP     276.453             277.592            -1.138         5.095
U_200_JRA25       19.216              19.114             0.102         3.845
U_200_NCEP        19.216              19.013             0.203         3.462
Z3_500_JRA25      55.523              55.788            -0.264         0.373
Z3_500_NCEP       55.523              55.668            -0.144         0.347
