DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM          -111.828            -999.000          -999.000      -999.000
RESSURF          -82.653            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-111.023            -115.248             4.225         7.955
RESTOA_ERBE     -111.023            -112.894             1.871         8.342
SOLIN_CERES-EBAF 154.262             154.594            -0.333         0.958
SOLIN_CERES      154.262             155.001            -0.739         1.201
CLDTOT_ISCCP      69.480              72.186            -2.706        13.955
CLDTOT_CLOUDSAT   69.480              70.360            -0.880        10.610
FLDS_ISCCP       288.337             291.652            -3.316        15.679
FLNS_ISCCP        58.999              47.135            11.864        15.040
FLUT_CERES-EBAF  216.195             219.711            -3.517         6.688
FLUT_CERES       216.195             219.044            -2.849         6.313
FLUT_ERBE        216.195             214.994             1.201         6.082
FLUTC_CERES-EBAF 238.120             246.142            -8.022         9.057
FLUTC_CERES      238.120             243.037            -4.917        10.002
FLUTC_ERBE       238.120             242.164            -4.044        12.345
FLNT_CAM         215.100            -999.000          -999.000      -999.000
FSDS_ISCCP        78.333              76.503             1.831         8.621
FSNS_ISCCP        70.408              69.336             1.072         8.128
FSNS_LARYEA       70.408              62.201             8.207        16.207
FSNTOA_CERES-EBAF105.172             104.463             0.709         7.026
FSNTOA_CERES     105.172             105.301            -0.129         7.695
FSNTOA_ERBE      105.172             102.100             3.072         8.413
FSNTOAC_CERES-EBAF129.277             128.460             0.817         2.611
FSNTOAC_CERES    129.277             131.316            -2.040         3.563
FSNTOAC_ERBE     129.277             132.019            -2.742         5.374
FSNT_CAM         103.272            -999.000          -999.000      -999.000
LHFLX_JRA25       76.685              78.241            -1.556        12.807
LHFLX_ECMWF       76.685              81.209            -4.525        16.088
LHFLX_ERA40       76.685              77.410            -0.725        14.549
LHFLX_WHOI        76.685              81.413            -4.728        23.160
LWCF_CERES-EBAF   21.926              26.431            -4.505         6.884
LWCF_CERES        21.926              24.063            -2.138         8.919
LWCF_ERBE         21.926              27.114            -5.188        12.631
PRECT_GPCP         2.470               2.305             0.165         0.757
PREH2O_NVAP       13.092              12.610             0.482         1.423
PREH2O_AIRS       13.092              10.222             2.870         2.967
PREH2O_JRA25      13.092              13.097            -0.005         0.949
PREH2O_ECMWF      13.092              11.844             1.248         1.907
PREH2O_ERA40      13.092              12.876             0.215         1.206
PSL_JRA25       1008.048            1008.253            -0.205         4.690
PSL_NCEP        1008.048            1009.823            -1.775         5.855
SHFLX_JRA25       17.378              13.148             4.229        11.964
SHFLX_NCEP        17.378              11.654             5.723        15.640
SHFLX_LARYEA      17.378              20.020            -2.642        11.457
STRESS_MAG_ERS     0.097               0.089             0.008         0.035
STRESS_MAG_LARYEA  0.097               0.098            -0.001         0.033
STRESS_MAG_JRA25   0.097               0.112            -0.015         0.038
SWCF_CERES-EBAF  -24.105             -23.997            -0.108         7.160
SWCF_CERES       -24.105             -25.258             1.153         8.110
SWCF_ERBE        -24.105             -28.279             4.174         8.161
AODVIS             0.047            -999.000          -999.000      -999.000
AODDUST            0.004            -999.000          -999.000      -999.000
SST_HADISST       13.063              13.082            -0.019         0.179
SST_HADISST_PI    13.732              13.324             0.407         0.502
SST_HADISST_PD    13.090              13.184            -0.094         0.360
TREFHT_LEGATES   277.123             277.596            -0.472         5.442
TREFHT_JRA25     277.123             278.303            -1.180         2.274
TS_NCEP          277.838             277.708             0.130         1.903
TS_LAND_NCEP     256.854             257.586            -0.732         3.295
U_200_JRA25       27.980              28.392            -0.413         4.337
U_200_NCEP        27.980              28.217            -0.237         4.597
Z3_500_JRA25      54.349              54.588            -0.239         0.488
Z3_500_NCEP       54.349              54.478            -0.129         0.530
