DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM            61.847            -999.000          -999.000      -999.000
RESSURF           27.148            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 64.419              56.821             7.598        13.763
RESTOA_ERBE       64.419              54.437             9.982        15.377
SOLIN_CERES-EBAF 408.426             407.800             0.627         0.545
SOLIN_CERES      408.426             409.428            -1.002         1.118
CLDTOT_ISCCP      63.854              61.487             2.367        10.064
CLDTOT_CLOUDSAT   63.854              68.355            -4.502        11.002
FLDS_ISCCP       402.323             405.413            -3.090         9.719
FLNS_ISCCP        56.209              51.000             5.209        12.222
FLUT_CERES-EBAF  250.823             256.598            -5.776        13.382
FLUT_CERES       250.823             256.122            -5.299        12.206
FLUT_ERBE        250.823             251.107            -0.285        12.187
FLUTC_CERES-EBAF 278.569             286.767            -8.197         8.823
FLUTC_CERES      278.569             287.843            -9.273         9.803
FLUTC_ERBE       278.569             287.403            -8.834         9.773
FLNT_CAM         249.375            -999.000          -999.000      -999.000
FSDS_ISCCP       234.227             241.673            -7.446        19.839
FSNS_ISCCP       217.051             222.979            -5.927        19.566
FSNS_LARYEA      217.051             203.232            13.819        42.622
FSNTOA_CERES-EBAF315.242             313.419             1.823        16.989
FSNTOA_CERES     315.242             319.097            -3.855        17.476
FSNTOA_ERBE      315.242             305.545             9.697        19.729
FSNTOAC_CERES-EBAF362.510             360.155             2.355         4.908
FSNTOAC_CERES    362.510             362.918            -0.408         3.980
FSNTOAC_ERBE     362.510             359.167             3.343         6.927
FSNT_CAM         311.223            -999.000          -999.000      -999.000
LHFLX_JRA25      113.566             126.413           -12.846        21.925
LHFLX_ECMWF      113.566             122.472            -8.905        22.608
LHFLX_ERA40      113.566             115.198            -1.632        17.201
LHFLX_WHOI       113.566             112.865             0.701        26.992
LWCF_CERES-EBAF   27.747              30.168            -2.421        10.273
LWCF_CERES        27.747              31.382            -3.635        10.831
LWCF_ERBE         27.747              36.117            -8.371        13.989
PRECT_GPCP         3.912               3.550             0.362         2.128
PREH2O_NVAP       41.728              40.071             1.657         3.784
PREH2O_AIRS       41.728              33.228             8.499         8.493
PREH2O_JRA25      41.728              38.979             2.749         2.926
PREH2O_ECMWF      41.728              40.361             1.367         3.274
PREH2O_ERA40      41.728              40.252             1.475         2.647
PSL_JRA25       1010.773            1012.003            -1.230         1.318
PSL_NCEP        1010.773            1011.806            -1.033         1.215
SHFLX_JRA25       20.128              25.894            -5.766        12.086
SHFLX_NCEP        20.128              18.067             2.061        11.902
SHFLX_LARYEA      20.128              10.914             9.214        10.794
STRESS_MAG_ERS     0.047               0.055            -0.009         0.015
STRESS_MAG_LARYEA  0.047               0.063            -0.017         0.021
STRESS_MAG_JRA25   0.047               0.065            -0.019         0.016
SWCF_CERES-EBAF  -47.268             -46.736            -0.532        17.700
SWCF_CERES       -47.268             -43.718            -3.550        17.743
SWCF_ERBE        -47.268             -53.519             6.251        18.581
AODVIS             0.157            -999.000          -999.000      -999.000
AODDUST            0.035            -999.000          -999.000      -999.000
SST_HADISST       27.108              27.153            -0.044         0.134
SST_HADISST_PI    27.108              26.753             0.355         0.404
SST_HADISST_PD    27.108              27.209            -0.101         0.318
TREFHT_LEGATES   298.676             299.051            -0.375         1.043
TREFHT_JRA25     298.676             298.700            -0.023         0.837
TS_NCEP          299.779             299.564             0.216         1.144
TS_LAND_NCEP     297.983             297.266             0.717         2.199
U_200_JRA25        4.716               4.691             0.025         2.573
U_200_NCEP         4.716               3.039             1.677         2.912
Z3_500_JRA25      58.400              58.608            -0.208         0.225
Z3_500_NCEP       58.400              58.598            -0.198         0.206
