DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM            66.687            -999.000          -999.000      -999.000
RESSURF           30.358            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 69.322              61.110             8.212        15.073
RESTOA_ERBE       69.322              58.956            10.366        15.832
SOLIN_CERES-EBAF 413.626             412.787             0.839         0.747
SOLIN_CERES      413.626             414.841            -1.215         1.337
CLDTOT_ISCCP      65.532              61.519             4.013        12.645
CLDTOT_CLOUDSAT   65.532              69.501            -3.970        12.541
FLDS_ISCCP       399.981             402.115            -2.134         9.865
FLNS_ISCCP        57.056              50.753             6.303        13.941
FLUT_CERES-EBAF  248.706             255.246            -6.540        16.571
FLUT_CERES       248.706             254.359            -5.653        15.541
FLUT_ERBE        248.706             249.862            -1.156        15.150
FLUTC_CERES-EBAF 278.142             286.741            -8.599         9.469
FLUTC_CERES      278.142             287.467            -9.326        10.180
FLUTC_ERBE       278.142             286.996            -8.854        10.147
FLNT_CAM         247.248            -999.000          -999.000      -999.000
FSDS_ISCCP       236.926             244.027            -7.101        23.577
FSNS_ISCCP       219.668             225.253            -5.585        22.379
FSNS_LARYEA      219.668             206.280            13.388        43.624
FSNTOA_CERES-EBAF318.028             316.356             1.672        19.046
FSNTOA_CERES     318.028             321.990            -3.962        20.327
FSNTOA_ERBE      318.028             308.817             9.210        21.006
FSNTOAC_CERES-EBAF367.436             364.426             3.010         5.746
FSNTOAC_CERES    367.436             367.527            -0.091         4.313
FSNTOAC_ERBE     367.436             363.302             4.134         7.300
FSNT_CAM         313.935            -999.000          -999.000      -999.000
LHFLX_JRA25      112.763             126.881           -14.118        24.911
LHFLX_ECMWF      112.763             121.885            -9.122        25.581
LHFLX_ERA40      112.763             115.737            -2.974        20.029
LHFLX_WHOI       112.763             112.594             0.170        30.067
LWCF_CERES-EBAF   29.436              31.495            -2.059        13.148
LWCF_CERES        29.436              32.942            -3.506        13.690
LWCF_ERBE         29.436              36.937            -7.501        15.766
PRECT_GPCP         3.948               3.621             0.327         2.439
PREH2O_NVAP       40.867              39.409             1.458         4.062
PREH2O_AIRS       40.867              32.872             7.995         8.175
PREH2O_JRA25      40.867              38.592             2.275         2.972
PREH2O_ECMWF      40.867              39.290             1.577         3.423
PREH2O_ERA40      40.867              39.531             1.336         2.844
PSL_JRA25       1010.509            1011.675            -1.167         1.384
PSL_NCEP        1010.509            1011.464            -0.955         1.234
SHFLX_JRA25       19.490              24.816            -5.325        13.259
SHFLX_NCEP        19.490              17.457             2.034        12.538
SHFLX_LARYEA      19.490              11.065             8.425        11.051
STRESS_MAG_ERS     0.045               0.054            -0.009         0.017
STRESS_MAG_LARYEA  0.045               0.064            -0.018         0.024
STRESS_MAG_JRA25   0.045               0.064            -0.019         0.016
SWCF_CERES-EBAF  -49.408             -48.070            -1.339        20.212
SWCF_CERES       -49.408             -45.470            -3.938        20.799
SWCF_ERBE        -49.408             -54.328             4.920        19.796
AODVIS             0.130            -999.000          -999.000      -999.000
AODDUST            0.022            -999.000          -999.000      -999.000
SST_HADISST       27.106              27.101             0.005         0.142
SST_HADISST_PI    27.106              26.719             0.387         0.446
SST_HADISST_PD    27.106              27.154            -0.048         0.369
TREFHT_LEGATES   298.426             298.950            -0.523         1.166
TREFHT_JRA25     298.426             298.454            -0.028         0.927
TS_NCEP          299.542             299.340             0.202         1.161
TS_LAND_NCEP     296.945             296.516             0.429         2.168
U_200_JRA25        6.798               6.661             0.137         3.447
U_200_NCEP         6.798               4.852             1.946         3.677
Z3_500_JRA25      58.327              58.558            -0.231         0.256
Z3_500_NCEP       58.327              58.546            -0.219         0.234
