DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: l35_2c78d90zmh (yrs 1979-1987)
 
CONTROL CASE: OBS data
 
Variable      l35_2c78d90zmh         OBS data         l35_2c78d90zmh        RMSE
                                                      -OBS data
RESTOM            42.450            -999.000          -999.000      -999.000
RESSURF            6.788            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 44.933              38.805             6.128        15.738
RESTOA_ERBE       44.933              35.721             9.211        16.892
SOLIN_CERES-EBAF 389.201             389.022             0.179         0.412
SOLIN_CERES      389.201             390.382            -1.181         1.293
CLDTOT_ISCCP      62.187              61.425             0.762        13.114
CLDTOT_CLOUDSAT   62.187              67.098            -4.911        14.422
FLDS_ISCCP       401.725             405.144            -3.419        11.744
FLNS_ISCCP        55.534              49.729             5.805        14.402
FLUT_CERES-EBAF  252.838             257.718            -4.880        15.617
FLUT_CERES       252.838             257.156            -4.318        14.555
FLUT_ERBE        252.838             252.209             0.629        14.443
FLUTC_CERES-EBAF 278.844             286.374            -7.529         8.466
FLUTC_CERES      278.844             287.387            -8.543         9.660
FLUTC_ERBE       278.844             287.157            -8.313         9.970
FLNT_CAM         251.412            -999.000          -999.000      -999.000
FSDS_ISCCP       218.271             225.351            -7.080        25.060
FSNS_ISCCP       201.693             208.031            -6.338        23.862
FSNS_LARYEA      201.693             188.916            12.777        42.204
FSNTOA_CERES-EBAF297.771             296.523             1.248        21.091
FSNTOA_CERES     297.771             299.991            -2.221        21.701
FSNTOA_ERBE      297.771             287.931             9.840        22.969
FSNTOAC_CERES-EBAF343.564             342.663             0.901         5.103
FSNTOAC_CERES    343.564             345.158            -1.594         4.877
FSNTOAC_ERBE     343.564             341.182             2.382         7.026
FSNT_CAM         293.862            -999.000          -999.000      -999.000
LHFLX_JRA25      119.241             130.363           -11.121        29.674
LHFLX_ECMWF      119.241             128.863            -9.622        28.727
LHFLX_ERA40      119.241             118.851             0.390        26.186
LHFLX_WHOI       119.241             117.644             1.597        37.987
LWCF_CERES-EBAF   26.006              28.654            -2.648        12.726
LWCF_CERES        26.006              30.204            -4.197        13.432
LWCF_ERBE         26.006              34.714            -8.708        15.838
PRECT_GPCP         3.883               3.511             0.372         2.888
PREH2O_NVAP       41.612              39.792             1.820         4.605
PREH2O_AIRS       41.612              32.655             8.958         9.573
PREH2O_JRA25      41.612              38.555             3.057         4.130
PREH2O_ECMWF      41.612              39.927             1.685         4.465
PREH2O_ERA40      41.612              39.912             1.700         3.564
PSL_JRA25       1011.218            1012.678            -1.460         1.622
PSL_NCEP        1011.218            1012.489            -1.270         1.521
SHFLX_JRA25       20.130              25.718            -5.588        12.419
SHFLX_NCEP        20.130              18.331             1.799        14.118
SHFLX_LARYEA      20.130              11.218             8.912        10.476
STRESS_MAG_ERS     0.072               0.066             0.006         0.024
STRESS_MAG_LARYEA  0.072               0.074            -0.001         0.023
STRESS_MAG_JRA25   0.072               0.077            -0.005         0.022
SWCF_CERES-EBAF  -45.793             -46.140             0.347        21.672
SWCF_CERES       -45.793             -45.112            -0.680        21.873
SWCF_ERBE        -45.793             -53.150             7.358        22.198
AODVIS             0.203            -999.000          -999.000      -999.000
AODDUST            0.053            -999.000          -999.000      -999.000
SST_HADISST       26.863              26.920            -0.057         0.168
SST_HADISST_PI    26.863              26.522             0.341         0.406
SST_HADISST_PD    26.863              26.972            -0.109         0.332
TREFHT_LEGATES   298.540             298.724            -0.184         1.127
TREFHT_JRA25     298.540             298.440             0.100         0.898
TS_NCEP          299.559             299.340             0.219         1.250
TS_LAND_NCEP     297.896             297.063             0.833         2.435
U_200_JRA25        0.366               0.510            -0.144         3.986
U_200_NCEP         0.366              -0.948             1.314         3.947
Z3_500_JRA25      58.455              58.629            -0.174         0.199
Z3_500_NCEP       58.455              58.627            -0.172         0.190
