DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM             8.734               9.347            -0.613         9.301
RESSURF            9.386               9.298             0.088        12.025
SOLIN            340.424             340.424             0.000         0.000
AAM            1.472e+26           1.370e+26         1.020e+25      -999.000
CHI_200           -0.041              -0.048             0.007         0.906
CLDHGH            37.042              40.066            -3.024         7.142
CLDLOW            45.399              40.093             5.306        11.366
CLDMED            22.336              24.271            -1.935         7.782
CLDTOT            64.729              62.847             1.882         8.255
EKE_850           35.034              33.944             1.090         4.425
EP            -2.033e-02           1.942e-03        -2.227e-02         0.809
FLNS              58.632              57.775             0.857         5.324
FLNSC             81.575              82.250            -0.675         2.121
FLNT             234.414             233.929             0.485         6.615
FLNTC            256.372             256.914            -0.542         1.835
FSDS             192.729             193.762            -1.033        13.637
FSDSC            245.006             246.681            -1.675         3.430
FSNS             168.380             169.519            -1.138        12.825
FSNSC            215.895             217.460            -1.564         3.374
FSNSC_ICE         61.826              61.172             0.654         2.060
FSNSC_LAND       178.918             181.173            -2.255         4.823
FSNT             243.149             243.276            -0.128        11.900
FSNTC            286.562             286.984            -0.421         1.518
ICEAREA           22.350              22.350             0.000         0.000
LHFLX             80.125              81.783            -1.658         9.028
LWCF              21.957              22.984            -1.027         6.373
PRECT              2.760               2.791            -0.031         0.857
PRECT_LAND         1.962               2.125            -0.163         0.866
PRECT_OCEAN        3.253               3.221             0.033         0.880
PREH2O            25.315              24.190             1.126         1.861
PREH2O_OCEAN      29.638              28.373             1.265         2.008
PSI_200           -0.038              -0.035            -0.003         0.306
PS               984.708             984.598             0.110         0.666
PSL             1010.643            1010.563             0.080         0.683
QFLX               2.740               2.793            -0.053         0.292
SHFLX             20.238              20.662            -0.424         4.164
SNOWHLND          10.316              10.313             0.003         1.780
SST               20.042              20.042            -0.000         0.007
STRESS_MAG         0.059               0.062            -0.002         0.010
SWCF             -43.414             -43.707             0.294        12.302
T_850            280.852             280.491             0.360         0.536
TGCLDLWP          47.409              37.239            10.170        21.115
TGCLDIWP          17.811              21.691            -3.880        12.224
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.100               0.086             0.015         0.046
AODDUST            0.023               0.021             0.002         0.015
TREFHT           286.956             286.768             0.188         0.469
TS               287.755             287.625             0.130         0.494
TS_LAND          281.352             280.826             0.526         0.905
U_200             15.571              15.050             0.520         1.757
VT_850             0.276               0.179             0.098         1.105
Z3_500            56.430              56.325             0.105         0.133
