DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM            18.218              18.475            -0.257         9.781
RESSURF           18.422              17.923             0.498        18.175
SOLIN            350.548             350.548             0.000         0.000
AAM            1.652e+26           1.510e+26         1.420e+25      -999.000
CHI_200           -0.077              -0.083             0.006         1.461
CLDHGH            37.922              39.609            -1.687         9.208
CLDLOW            48.494              42.181             6.313        12.593
CLDMED            21.979              24.704            -2.725         9.738
CLDTOT            67.379              64.269             3.110        10.260
EKE_850           32.709              31.801             0.908         4.521
EP            -9.182e-03           1.194e-02        -2.112e-02         1.015
FLNS              57.194              56.554             0.640         5.834
FLNSC             80.783              81.368            -0.585         3.100
FLNT             230.695             231.233            -0.538         8.645
FLNTC            252.413             253.308            -0.895         2.395
FSDS             200.127             201.747            -1.620        14.902
FSDSC            255.400             256.568            -1.168         3.047
FSNS             173.700             175.384            -1.684        14.030
FSNSC            224.296             225.462            -1.167         3.254
FSNSC_ICE         26.487              26.844            -0.357         3.331
FSNSC_LAND       142.844             144.482            -1.638         4.251
FSNT             248.913             249.708            -0.794        12.759
FSNTC            294.861             295.100            -0.239         1.899
ICEAREA           19.787              19.787             0.000         0.000
LHFLX             79.548              81.947            -2.399        14.292
LWCF              21.718              22.075            -0.357         7.630
PRECT              2.724               2.783            -0.058         0.981
PRECT_LAND         2.007               2.047            -0.040         1.107
PRECT_OCEAN        3.156               3.221            -0.065         0.945
PREH2O            24.057              23.111             0.946         1.992
PREH2O_OCEAN      28.715              27.798             0.917         1.977
PSI_200            0.012               0.011             0.001         0.504
PS               984.585             984.492             0.093         1.590
PSL             1010.843            1010.789             0.054         1.637
QFLX               2.715               2.794            -0.079         0.437
SHFLX             18.537              18.960            -0.423         5.492
SNOWHLND          11.252              11.242             0.010         2.171
SST               19.784              19.784            -0.000         0.007
STRESS_MAG         0.059               0.065            -0.006         0.019
SWCF             -45.948             -45.392            -0.556        13.047
T_850            279.115             278.821             0.294         0.676
TGCLDLWP          45.277              35.024            10.254        22.791
TGCLDIWP          17.384              21.149            -3.765        16.272
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.076               0.070             0.006         0.036
AODDUST            0.013               0.013            -0.000         0.007
TREFHT           284.790             284.659             0.130         0.659
TS               285.586             285.494             0.092         0.691
TS_LAND          274.118             273.725             0.393         1.250
U_200             16.961              16.184             0.776         3.031
VT_850            -0.550              -0.551             0.001         2.160
Z3_500            56.157              56.075             0.082         0.199
