DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM            -0.735              -0.665            -0.070        13.449
RESSURF           -0.999              -1.251             0.253        18.704
SOLIN            330.489             330.489             0.000         0.000
AAM            1.147e+26           1.053e+26         9.364e+24      -999.000
CHI_200            0.024              -0.014             0.038         2.379
CLDHGH            35.809              39.757            -3.948        10.558
CLDLOW            43.381              38.968             4.412        12.255
CLDMED            22.570              23.427            -0.857         8.720
CLDTOT            62.593              61.637             0.955        10.501
EKE_850           30.847              30.577             0.270         4.263
EP            -1.470e-02           8.213e-03        -2.291e-02         1.525
FLNS              58.696              57.806             0.889         7.199
FLNSC             81.074              81.902            -0.828         3.211
FLNT             238.607             237.344             1.263        10.826
FLNTC            260.837             260.927            -0.089         2.567
FSDS             182.541             182.489             0.052        19.960
FSDSC            233.062             235.490            -2.428         5.133
FSNS             162.320             162.328            -0.008        18.702
FSNSC            208.194             210.363            -2.169         5.121
FSNSC_ICE         64.580              62.843             1.737         5.013
FSNSC_LAND       213.063             216.776            -3.713         8.031
FSNT             237.872             236.679             1.194        17.111
FSNTC            280.180             280.824            -0.644         2.431
ICEAREA           23.878              23.878             0.000         0.000
LHFLX             82.572              83.330            -0.757        14.640
LWCF              22.230              23.583            -1.353         9.809
PRECT              2.846               2.844             0.001         1.566
PRECT_LAND         1.982               2.219            -0.237         1.407
PRECT_OCEAN        3.359               3.243             0.116         1.685
PREH2O            27.165              25.834             1.332         2.646
PREH2O_OCEAN      30.483              29.053             1.430         2.833
PSI_200           -0.095              -0.091            -0.004         0.433
PS               984.890             984.759             0.131         1.337
PSL             1010.478            1010.383             0.095         1.347
QFLX               2.831               2.852            -0.022         0.452
SHFLX             22.050              22.444            -0.393         5.879
SNOWHLND           9.177               9.153             0.025         1.808
SST               19.903              19.903             0.000         0.008
STRESS_MAG         0.073               0.072             0.002         0.020
SWCF             -42.307             -44.145             1.838        17.605
T_850            282.855             282.365             0.490         0.807
TGCLDLWP          51.344              41.618             9.727        28.913
TGCLDIWP          18.619              22.401            -3.782        16.880
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.134               0.109             0.025         0.074
AODDUST            0.034               0.028             0.006         0.034
TREFHT           289.142             288.821             0.322         0.723
TS               289.920             289.669             0.252         0.746
TS_LAND          288.360             287.452             0.908         1.393
U_200             12.721              12.308             0.413         3.351
VT_850             1.213               0.959             0.254         2.121
Z3_500            56.783              56.647             0.136         0.196
