DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM           -21.513             -20.484            -1.029         7.826
RESSURF           -3.124              -4.449             1.326        11.911
SOLIN            304.976             304.976             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.472              -0.396            -0.075         0.730
CLDHGH            29.349              35.447            -6.099         7.422
CLDLOW            47.404              42.800             4.604         9.188
CLDMED            24.832              26.997            -2.165         8.459
CLDTOT            61.699              61.812            -0.113         5.918
EKE_850           39.110              38.619             0.490         2.760
EP            -1.244e-01          -5.236e-02        -7.203e-02         0.434
FLNS              62.429              61.730             0.699         4.786
FLNSC             86.776              87.903            -1.127         2.039
FLNT             229.004             228.494             0.509         3.717
FLNTC            247.123             246.981             0.142         1.186
FSDS             171.727             172.525            -0.798        11.621
FSDSC            220.053             220.683            -0.630         1.261
FSNS             141.013             141.873            -0.860        10.833
FSNSC            183.393             183.899            -0.506         1.757
FSNSC_ICE         59.892              58.696             1.197         2.222
FSNSC_LAND       166.533             167.368            -0.835         2.401
FSNT             207.491             208.010            -0.519         9.583
FSNTC            245.898             245.826             0.072         1.412
ICEAREA           11.542              11.542             0.000         0.000
LHFLX             56.721              58.392            -1.671         6.359
LWCF              18.119              18.487            -0.367         3.016
PRECT              2.056               2.031             0.026         0.420
PRECT_LAND         1.480               1.572            -0.092         0.436
PRECT_OCEAN        2.887               2.737             0.150         0.440
PREH2O            17.611              16.814             0.797         1.030
PREH2O_OCEAN      23.902              23.009             0.893         1.151
PSI_200           -7.051              -6.775            -0.276         0.312
PS               975.304             975.384            -0.080         0.649
PSL             1014.513            1014.630            -0.116         0.659
QFLX               1.932               1.978            -0.046         0.196
SHFLX             24.987              26.200            -1.213         3.049
SNOWHLND           4.694               4.761            -0.067         1.687
SST               17.554              17.554            -0.000         0.010
STRESS_MAG         0.039               0.046            -0.006         0.012
SWCF             -38.407             -37.816            -0.592         9.536
T_850            276.813             276.339             0.475         0.645
TGCLDLWP          45.924              35.103            10.821        18.713
TGCLDIWP          17.620              19.640            -2.021         7.698
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.095               0.096            -0.002         0.016
AODDUST            0.026               0.030            -0.004         0.011
TREFHT           281.458             281.199             0.259         0.525
TS               282.117             281.946             0.172         0.527
TS_LAND          278.449             277.995             0.454         0.736
U_200             18.360              18.086             0.274         1.288
VT_850             0.292               0.349            -0.057         1.105
Z3_500            55.965              55.859             0.106         0.138
