DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM          -103.516            -102.111            -1.405         5.101
RESSURF          -74.358             -73.575            -0.783        18.502
SOLIN            166.327             166.327             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.773               3.471             0.302         1.474
CLDHGH            30.845              34.750            -3.904         7.002
CLDLOW            56.301              50.490             5.812        10.841
CLDMED            26.564              32.631            -6.067        12.089
CLDTOT            68.960              67.070             1.890         7.714
EKE_850           51.255              49.967             1.288         4.996
EP             3.644e-02           8.794e-02        -5.150e-02         0.602
FLNS              59.342              59.137             0.204         5.649
FLNSC             85.369              86.644            -1.275         3.299
FLNT             209.498             210.527            -1.029         4.359
FLNTC            227.194             227.286            -0.092         1.727
FSDS              90.512              93.437            -2.924         7.684
FSDSC            118.331             118.549            -0.218         1.088
FSNS              71.109              73.936            -2.827         6.909
FSNSC             94.551              94.797            -0.245         2.376
FSNSC_ICE          1.033               1.031             0.003         0.026
FSNSC_LAND        76.086              76.755            -0.669         3.779
FSNT             105.983             108.417            -2.434         6.200
FSNTC            127.840             127.755             0.085         2.225
ICEAREA           13.930              13.930             0.000         0.000
LHFLX             63.683              64.303            -0.620        12.839
LWCF              17.696              16.759             0.937         3.541
PRECT              2.084               2.046             0.038         0.485
PRECT_LAND         1.141               1.105             0.036         0.399
PRECT_OCEAN        3.360               3.318             0.041         0.598
PREH2O            11.149              10.785             0.364         1.147
PREH2O_OCEAN      17.456              17.310             0.145         1.194
PSI_200           -8.940              -8.472            -0.468         0.582
PS               975.185             975.540            -0.355         1.688
PSL             1015.943            1016.346            -0.402         1.710
QFLX               2.120               2.134            -0.014         0.390
SHFLX             22.442              24.070            -1.628         5.419
SNOWHLND           6.684               6.778            -0.094         2.236
SST               15.510              15.510            -0.001         0.012
STRESS_MAG         0.065               0.077            -0.012         0.030
SWCF             -21.858             -19.338            -2.519         6.144
T_850            268.846             268.485             0.361         0.861
TGCLDLWP          38.052              24.083            13.970        25.986
TGCLDIWP          25.992              24.212             1.781        12.634
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.051               0.055            -0.004         0.011
AODDUST            0.009               0.010            -0.001         0.005
TREFHT           271.297             271.177             0.120         0.872
TS               272.009             271.971             0.038         0.882
TS_LAND          261.532             261.339             0.193         1.207
U_200             25.149              24.725             0.423         3.267
VT_850             0.481               0.572            -0.091         2.600
Z3_500            54.561              54.507             0.054         0.231
