DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM            65.977              63.771             2.206        16.076
RESSURF           72.654              68.050             4.604        18.702
SOLIN            446.377             446.377             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -4.696              -4.156            -0.539         2.081
CLDHGH            27.342              35.329            -7.987        10.802
CLDLOW            40.970              38.110             2.860         9.660
CLDMED            23.417              20.291             3.126         7.892
CLDTOT            56.123              57.894            -1.771         8.505
EKE_850           21.303              20.996             0.306         3.612
EP            -3.613e-01          -2.551e-01        -1.062e-01         1.099
FLNS              61.643              60.304             1.339         6.938
FLNSC             83.828              85.068            -1.240         3.249
FLNT             248.954             247.121             1.833         7.098
FLNTC            267.609             267.222             0.387         2.078
FSDS             250.027             246.317             3.710        23.430
FSDSC            320.254             322.012            -1.758         3.599
FSNS             213.767             210.125             3.643        21.956
FSNSC            276.762             278.058            -1.296         4.157
FSNSC_ICE        188.616             183.434             5.182         8.668
FSNSC_LAND       257.258             259.422            -2.165         4.874
FSNT             314.931             310.892             4.039        19.308
FSNTC            371.796             371.796            -0.000         2.880
ICEAREA            9.152               9.152             0.000         0.000
LHFLX             50.775              52.614            -1.840        10.115
LWCF              18.654              20.101            -1.446         5.809
PRECT              2.155               2.097             0.059         1.078
PRECT_LAND         2.007               2.228            -0.221         1.248
PRECT_OCEAN        2.484               2.139             0.346         0.971
PREH2O            26.391              24.818             1.574         2.242
PREH2O_OCEAN      32.011              30.257             1.754         2.536
PSI_200           -4.383              -4.131            -0.252         0.340
PS               974.465             974.747            -0.283         0.847
PSL             1012.148            1012.511            -0.363         0.907
QFLX               1.794               1.841            -0.047         0.291
SHFLX             28.696              29.157            -0.461         4.626
SNOWHLND           2.364               2.369            -0.004         1.561
SST               19.487              19.486             0.000         0.009
STRESS_MAG         0.037               0.040            -0.003         0.013
SWCF             -56.865             -60.904             4.040        19.376
T_850            285.862             285.137             0.724         1.042
TGCLDLWP          57.684              51.661             6.022        25.585
TGCLDIWP          10.540              16.646            -6.106        14.375
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.149               0.144             0.006         0.041
AODDUST            0.044               0.050            -0.006         0.025
TREFHT           291.503             290.966             0.537         0.882
TS               292.097             291.629             0.469         0.897
TS_LAND          294.664             293.646             1.019         1.338
U_200             10.159               9.870             0.289         2.011
VT_850             0.050               0.109            -0.059         1.738
Z3_500            57.498              57.364             0.134         0.171
