DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM           -15.603             -13.469            -2.133         7.810
RESSURF            3.641               3.663            -0.021         8.456
SOLIN            305.986             305.986             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.124               0.966             0.159         0.507
CLDHGH            31.408              35.427            -4.019         5.466
CLDLOW            56.227              50.962             5.265        13.132
CLDMED            25.300              28.611            -3.311         8.486
CLDTOT            68.660              66.872             1.787         8.941
EKE_850           50.483              50.653            -0.170         2.656
EP             5.331e-02           9.397e-02        -4.066e-02         0.307
FLNS              57.325              55.909             1.416         6.138
FLNSC             88.827              88.880            -0.052         1.636
FLNT             224.448             224.687            -0.239         3.239
FLNTC            244.294             244.147             0.147         0.920
FSDS             171.081             173.437            -2.355        11.367
FSDSC            225.801             225.771             0.029         0.551
FSNS             145.728             148.174            -2.446        10.786
FSNSC            195.322             195.328            -0.006         0.976
FSNSC_ICE         64.621              64.752            -0.130         1.800
FSNSC_LAND       131.449             131.602            -0.153         2.193
FSNT             208.845             211.218            -2.372         9.509
FSNTC            253.262             253.124             0.137         0.899
ICEAREA           10.807              10.807             0.000         0.000
LHFLX             69.161              71.333            -2.172         5.230
LWCF              19.846              19.460             0.385         2.938
PRECT              2.281               2.308            -0.027         0.321
PRECT_LAND         0.973               1.223            -0.250         0.455
PRECT_OCEAN        2.667               2.646             0.021         0.300
PREH2O            16.152              16.041             0.111         0.475
PREH2O_OCEAN      18.470              18.296             0.174         0.480
PSI_200            7.580               7.288             0.292         0.346
PS               982.414             982.360             0.055         0.781
PSL             1006.639            1006.630             0.009         0.808
QFLX               2.334               2.402            -0.068         0.168
SHFLX             15.601              17.269            -1.668         2.997
SNOWHLND          42.841              42.627             0.213         3.020
SST               13.977              13.978            -0.000         0.006
STRESS_MAG         0.084               0.085            -0.001         0.010
SWCF             -44.416             -41.907            -2.509         9.560
T_850            275.244             274.911             0.333         0.429
TGCLDLWP          48.527              32.921            15.606        19.657
TGCLDIWP          23.333              22.428             0.905         7.950
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.047               0.053            -0.006         0.012
AODDUST            0.006               0.006             0.000         0.002
TREFHT           280.409             280.204             0.206         0.379
TS               281.037             280.963             0.074         0.372
TS_LAND          265.453             264.850             0.603         0.876
U_200             23.936              23.438             0.498         1.605
VT_850            -0.195              -0.251             0.056         0.775
Z3_500            54.871              54.800             0.071         0.117
