DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM            90.140              91.600            -1.460        11.368
RESSURF           98.934              98.784             0.150        15.411
SOLIN            469.943             469.943             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.989              -2.828            -0.161         1.069
CLDHGH            29.118              33.533            -4.415         7.980
CLDLOW            56.360              50.452             5.907        14.095
CLDMED            22.324              23.746            -1.422         8.577
CLDTOT            67.697              65.628             2.070        10.403
EKE_850           36.150              35.719             0.430         3.929
EP            -1.593e-02           3.467e-02        -5.060e-02         0.640
FLNS              55.188              53.569             1.618         6.433
FLNSC             86.926              86.561             0.365         2.841
FLNT             234.880             235.029            -0.149         5.582
FLNTC            252.689             252.976            -0.287         1.522
FSDS             271.923             273.182            -1.259        16.379
FSDSC            353.931             353.795             0.136         1.076
FSNS             229.049             230.618            -1.570        15.680
FSNSC            304.845             304.944            -0.098         1.989
FSNSC_ICE        151.200             153.318            -2.118         8.090
FSNSC_LAND       190.117             190.603            -0.486         2.750
FSNT             325.020             326.629            -1.609        13.593
FSNTC            391.458             391.369             0.090         1.725
ICEAREA            5.858               5.858             0.000         0.000
LHFLX             61.276              63.581            -2.305        10.246
LWCF              17.809              17.947            -0.138         4.525
PRECT              2.107               2.128            -0.021         0.614
PRECT_LAND         1.298               1.803            -0.505         1.013
PRECT_OCEAN        2.330               2.252             0.079         0.508
PREH2O            19.688              19.531             0.156         1.014
PREH2O_OCEAN      21.205              20.977             0.228         1.032
PSI_200            7.538               7.103             0.435         0.542
PS               982.445             982.650            -0.205         1.935
PSL             1006.086            1006.355            -0.269         2.024
QFLX               2.091               2.163            -0.072         0.317
SHFLX             13.651              14.684            -1.033         4.333
SNOWHLND          42.444              42.122             0.322         3.412
SST               14.709              14.709            -0.000         0.004
STRESS_MAG         0.069               0.070            -0.001         0.016
SWCF             -66.439             -64.740            -1.699        13.624
T_850            278.237             277.916             0.321         0.566
TGCLDLWP          50.508              38.184            12.325        18.644
TGCLDIWP          12.710              15.335            -2.624        10.214
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.045               0.054            -0.009         0.017
AODDUST            0.008               0.008            -0.000         0.005
TREFHT           284.267             284.064             0.203         0.480
TS               284.821             284.730             0.090         0.512
TS_LAND          276.453             275.819             0.635         1.269
U_200             19.216              18.454             0.762         2.459
VT_850            -0.116              -0.129             0.013         1.880
Z3_500            55.523              55.488             0.036         0.200
