DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM          -111.828            -109.319            -2.509         6.324
RESSURF          -82.653             -82.638            -0.014        11.246
SOLIN            154.262             154.262             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            5.216               4.737             0.479         1.783
CLDHGH            33.348              36.100            -2.751         6.061
CLDLOW            56.342              51.877             4.465        13.036
CLDMED            27.641              32.755            -5.114         9.196
CLDTOT            69.480              67.675             1.805         9.665
EKE_850           61.737              62.450            -0.712         4.663
EP             1.024e-01           1.193e-01        -1.691e-02         0.499
FLNS              58.999              58.020             0.978         6.846
FLNSC             90.754              91.048            -0.295         1.864
FLNT             215.100             215.502            -0.402         4.026
FLNTC            237.025             236.447             0.579         1.612
FSDS              78.333              81.534            -3.201         8.641
FSDSC            107.458             107.530            -0.072         0.464
FSNS              70.408              73.487            -3.079         8.019
FSNSC             95.888              95.919            -0.032         1.042
FSNSC_ICE          2.260               2.254             0.006         0.024
FSNSC_LAND        79.225              79.044             0.181         2.737
FSNT             103.272             106.183            -2.911         7.236
FSNTC            127.397             127.367             0.030         0.956
ICEAREA           14.725              14.725             0.000         0.000
LHFLX             76.685              78.627            -1.942         8.319
LWCF              21.926              20.945             0.981         3.464
PRECT              2.470               2.515            -0.045         0.447
PRECT_LAND         0.786               0.863            -0.077         0.419
PRECT_OCEAN        2.971               3.007            -0.036         0.477
PREH2O            13.092              13.073             0.019         0.666
PREH2O_OCEAN      15.518              15.466             0.053         0.705
PSI_200            6.930               6.682             0.248         0.488
PS               983.365             982.727             0.638         1.962
PSL             1008.048            1007.422             0.626         1.945
QFLX               2.572               2.635            -0.062         0.251
SHFLX             17.378              19.478            -2.101         3.827
SNOWHLND          43.077              42.912             0.166         3.249
SST               12.757              12.757            -0.001         0.009
STRESS_MAG         0.097               0.097            -0.000         0.023
SWCF             -24.125             -21.185            -2.941         7.209
T_850            272.405             272.102             0.303         0.571
TGCLDLWP          47.153              28.739            18.414        23.894
TGCLDIWP          33.882              29.477             4.405        13.969
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.047               0.050            -0.003         0.008
AODDUST            0.004               0.003             0.001         0.002
TREFHT           277.123             276.877             0.246         0.576
TS               277.838             277.737             0.101         0.516
TS_LAND          256.854             256.108             0.746         1.151
U_200             27.980              27.611             0.369         3.616
VT_850            -0.290              -0.389             0.099         2.012
Z3_500            54.349              54.226             0.123         0.249
