DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM            61.847              60.576             1.272        11.657
RESSURF           27.148              28.159            -1.011        14.776
SOLIN            408.426             408.426             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.755              -0.695            -0.060         1.284
CLDHGH            50.011              49.074             0.937         8.223
CLDLOW            32.913              26.882             6.031        11.429
CLDMED            17.023              17.397            -0.374         6.222
CLDTOT            63.854              59.937             3.916         9.428
EKE_850           17.040              14.236             2.805         6.492
EP             9.272e-03          -3.477e-02         4.404e-02         1.286
FLNS              56.209              55.742             0.467         4.955
FLNSC             69.457              70.297            -0.840         2.571
FLNT             249.375             248.210             1.165        10.259
FLNTC            277.122             279.000            -1.878         2.780
FSDS             234.227             234.203             0.024        17.051
FSDSC            287.974             292.325            -4.350         5.729
FSNS             217.051             217.188            -0.137        16.036
FSNSC            267.539             271.650            -4.111         5.441
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       235.598             242.076            -6.478         8.378
FSNT             311.223             308.786             2.437        15.488
FSNTC            358.532             359.978            -1.446         2.016
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.566             114.712            -1.146        13.198
LWCF              27.747              30.790            -3.043        10.119
PRECT              3.912               4.002            -0.089         1.376
PRECT_LAND         3.581               3.822            -0.241         1.487
PRECT_OCEAN        4.027               4.050            -0.023         1.328
PREH2O            41.728              39.294             2.433         2.992
PREH2O_OCEAN      43.664              41.136             2.528         3.039
PSI_200           -0.628              -0.603            -0.024         0.254
PS               996.090             995.741             0.349         0.549
PSL             1010.773            1010.433             0.340         0.563
QFLX               3.922               3.967            -0.045         0.431
SHFLX             20.128              18.575             1.553         5.770
SNOWHLND           0.000               0.000             0.000         0.347
SST               27.119              27.119             0.000         0.006
STRESS_MAG         0.047               0.049            -0.002         0.009
SWCF             -47.310             -51.192             3.882        16.385
T_850            289.742             289.462             0.280         0.514
TGCLDLWP          47.766              43.518             4.248        24.429
TGCLDIWP          12.623              22.968           -10.345        17.918
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.157               0.107             0.051         0.076
AODDUST            0.035               0.025             0.010         0.024
TREFHT           298.676             298.574             0.102         0.489
TS               299.779             299.635             0.144         0.561
TS_LAND          297.983             297.369             0.613         1.181
U_200              4.716               3.935             0.781         2.230
VT_850             0.696               0.418             0.278         1.340
Z3_500            58.400              58.261             0.139         0.142
