DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM            66.687              64.656             2.031        11.436
RESSURF           30.358              28.274             2.084        20.223
SOLIN            413.626             413.626             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.989              -0.869            -0.120         1.750
CLDHGH            53.374              50.248             3.126        11.836
CLDLOW            33.245              26.049             7.196        12.629
CLDMED            17.183              17.923            -0.740         8.098
CLDTOT            65.532              60.223             5.309        12.122
EKE_850           12.440              11.438             1.002         4.572
EP            -4.702e-02          -8.413e-02         3.711e-02         1.511
FLNS              57.056              56.944             0.112         5.381
FLNSC             70.344              71.183            -0.838         3.141
FLNT             247.248             247.686            -0.438        13.090
FLNTC            276.684             278.951            -2.267         3.426
FSDS             236.926             237.628            -0.702        18.324
FSDSC            292.900             296.261            -3.361         5.007
FSNS             219.668             220.351            -0.683        17.153
FSNSC            272.163             275.266            -3.102         4.674
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       241.657             245.981            -4.324         5.716
FSNT             313.935             312.342             1.594        16.199
FSNTC            363.386             364.260            -0.874         1.705
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.763             116.985            -4.222        18.419
LWCF              29.436              31.265            -1.829        11.806
PRECT              3.948               4.136            -0.188         1.497
PRECT_LAND         4.181               4.048             0.133         1.853
PRECT_OCEAN        3.888               4.160            -0.272         1.358
PREH2O            40.867              38.587             2.280         3.069
PREH2O_OCEAN      42.728              40.673             2.055         2.867
PSI_200            1.401               1.365             0.035         0.363
PS               995.812             994.995             0.817         1.015
PSL             1010.509            1009.696             0.813         1.030
QFLX               3.901               4.052            -0.150         0.563
SHFLX             19.490              18.148             1.343         6.482
SNOWHLND           0.000               0.000             0.000         0.267
SST               27.122              27.122             0.001         0.007
STRESS_MAG         0.045               0.053            -0.007         0.013
SWCF             -49.451             -51.918             2.467        16.857
T_850            289.390             289.185             0.205         0.568
TGCLDLWP          47.217              42.594             4.623        23.129
TGCLDIWP          13.557              23.828           -10.271        22.875
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.130               0.099             0.031         0.058
AODDUST            0.022               0.022             0.000         0.011
TREFHT           298.426             298.357             0.069         0.563
TS               299.542             299.395             0.146         0.627
TS_LAND          296.945             296.332             0.613         1.315
U_200              6.798               5.665             1.133         3.287
VT_850            -1.901              -1.976             0.074         1.944
Z3_500            58.327              58.171             0.155         0.161
