DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: l35zmh (yrs 1979-1987)
 
CONTROL CASE: l35 (yrs 1979-1987)
 
Variable          l35zmh                l35                l35zmh        RMSE
                                                           -l35
RESTOM            42.450              42.360             0.090        15.573
RESSURF            6.788              10.508            -3.721        23.818
SOLIN            389.201             389.201             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.436              -0.605             0.170         3.060
CLDHGH            46.442              47.624            -1.182        13.384
CLDLOW            33.114              27.242             5.872        13.648
CLDMED            16.811              17.401            -0.590         9.007
CLDTOT            62.187              59.405             2.782        12.790
EKE_850           11.147              10.019             1.128         4.428
EP             2.086e-01           1.563e-01         5.229e-02         2.332
FLNS              55.534              55.168             0.366         7.761
FLNSC             68.975              69.921            -0.946         4.089
FLNT             251.412             249.083             2.329        16.747
FLNTC            277.419             278.622            -1.203         3.561
FSDS             218.271             218.613            -0.342        23.810
FSDSC            270.439             275.810            -5.371         8.050
FSNS             201.693             202.266            -0.573        22.335
FSNSC            250.753             255.850            -5.097         7.707
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       217.569             226.978            -9.409        13.540
FSNT             293.862             291.443             2.419        21.186
FSNTC            339.696             341.623            -1.927         2.907
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            119.241             117.793             1.448        21.553
LWCF              26.006              29.539            -3.533        15.458
PRECT              3.883               3.892            -0.009         2.429
PRECT_LAND         2.761               3.139            -0.379         2.013
PRECT_OCEAN        4.238               4.114             0.125         2.533
PREH2O            41.612              39.239             2.373         3.911
PREH2O_OCEAN      43.727              41.185             2.542         4.010
PSI_200           -2.759              -2.750            -0.009         0.457
PS               996.517             996.478             0.039         0.906
PSL             1011.218            1011.195             0.023         0.927
QFLX               4.091               4.048             0.043         0.677
SHFLX             20.130              18.796             1.334         8.170
SNOWHLND           0.000               0.000             0.000         0.513
SST               26.864              26.863             0.000         0.007
STRESS_MAG         0.072               0.066             0.006         0.020
SWCF             -45.834             -50.180             4.346        22.299
T_850            289.723             289.273             0.450         0.743
TGCLDLWP          49.254              44.376             4.878        35.641
TGCLDIWP          11.630              21.115            -9.486        21.177
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.203               0.132             0.071         0.120
AODDUST            0.053               0.032             0.021         0.053
TREFHT           298.540             298.354             0.186         0.680
TS               299.559             299.371             0.187         0.774
TS_LAND          297.896             297.091             0.805         1.632
U_200              0.366              -0.210             0.577         4.054
VT_850             3.666               2.983             0.684         2.505
Z3_500            58.455              58.306             0.149         0.157
